id,description,parent,tree_id
B. (Brachynomada s. str.),B. (Brachynomada s. str.),sec93-3-1,sec93-3
Thalestria,Thalestria,sec95-1-1,sec95-1
Odyneropsis,Odyneropsis,sec95-1-1,sec95-1
Rhogepeolus,Rhogepeolus,sec95-1-3,sec95-1
Doeringiella,Doeringiella,sec95-1-5,sec95-1
Rhinepeolus,Rhinepeolus,sec95-1-6,sec95-1
Pseudepeolus,Pseudepeolus,sec95-1-7,sec95-1
Triepeolus,Triepeolus,sec95-1-8,sec95-1
Epeolus,Epeolus,sec95-1-8,sec95-1
Epeolus,Epeolus,sec95-1-9,sec95-1
Rhinepeolus,Rhinepeolus,sec95-1-1,sec95-1
Doeringiella,Doeringiella,sec95-1-1,sec95-1
Triepeolus,Triepeolus,sec95-1-1,sec95-1
Pseudepeolus,Pseudepeolus,sec95-1-1,sec95-1
Trophocleptria group,Trophocleptria group,sec95-2-1,sec95-2
Epeolus group,Epeolus group,sec95-2-1,sec95-2
O. (Odyneropsis) s. str.,O. (Odyneropsis) s. str.,sec95-3-1,sec95-3
O. (Parammobates),O. (Parammobates),sec95-3-1,sec95-3
Ammobatoides,Ammobatoides,sec96-1-1,sec96-1
Aethammobates,Aethammobates,sec96-1-2,sec96-1
Holcopasites,Holcopasites,sec96-1-3,sec96-1
Schmiedeknechtia,Schmiedeknechtia,sec96-1-3,sec96-1
Rhopalolemma,Rhopalolemma,sec97-1-1,sec97-1
Biastes,Biastes,sec97-1-2,sec97-1
Neopasites,Neopasites,sec97-1-2,sec97-1
N. (Micropasites),N. (Micropasites),sec97-2-1,sec97-2
N. (Neopasites s. str.),N. (Neopasites s. str.),sec97-2-1,sec97-2
N. (Neolarra s. str.),N. (Neolarra s. str.),sec99-1-1,sec99-1
N. (Phileremulus),N. (Phileremulus),sec99-1-1,sec99-1
Parammobatodes,Parammobatodes,sec100-1-2,sec100-1
Sphecodopsis,Sphecodopsis,sec100-1-3,sec100-1
Oreopasites,Oreopasites,sec100-1-3,sec100-1
Pasites,Pasites,sec100-1-4,sec100-1
Melanempis,Melanempis,sec100-1-5,sec100-1
Spinopasites,Spinopasites,sec100-1-6,sec100-1
Ammobates,Ammobates,sec100-1-6,sec100-1
A. (Xerammobates),A. (Xerammobates),sec100-2-1,sec100-2
A. (Euphileremus),A. (Euphileremus),sec100-2-2,sec100-2
A. (Ammobates s. str.),A. (Ammobates s. str.),sec100-2-2,sec100-2
S. (Pseudodichroa),S. (Pseudodichroa),sec100-3-1,sec100-3
S. (Sphecodopsis s. str.),S. (Sphecodopsis s. str.),sec100-3-1,sec100-3
Caenoprosopis,Caenoprosopis,sec101-1-1,sec101-1
Caenoprosopina,Caenoprosopina,sec101-1-1,sec101-1
Isepeolus,Isepeolus,sec103-1-1,sec103-1
Parepeolus,Parepeolus,sec104-1-1,sec104-1
Osiris,Osiris,sec104-1-3,sec104-1
Protosiris,Protosiris,sec104-1-4,sec104-1
Osirinus,Osirinus,sec104-1-4,sec104-1
P . (Ecclitodes),P . (Ecclitodes),sec104-2-1,sec104-2
P . (Parepeolus s. str.),P . (Parepeolus s. str.),sec104-2-1,sec104-2
T eratognatha,T eratognatha,sec106-1-2,sec106-1
Eremapis,Eremapis,sec106-1-2,sec106-1
Anthophorula,Anthophorula,sec106-1-4,sec106-1
Exomalopsis,Exomalopsis,sec106-1-4,sec106-1
T eratognatha,T eratognatha,sec106-2-2,sec106-2
Eremapis,Eremapis,sec106-2-2,sec106-2
Anthophorula,Anthophorula,sec106-2-4,sec106-2
A. (Isomalopsis),A. (Isomalopsis),sec106-2-2,sec106-2
A. (Anthophorula s. str.),A. (Anthophorula s. str.),sec106-2-2,sec106-2
E. (Stilbomalopsis),E. (Stilbomalopsis),sec106-3-1,sec106-3
E. (Diomalopsis),E. (Diomalopsis),sec106-3-2,sec106-3
E. (Phanomalopsis),E. (Phanomalopsis),sec106-3-3,sec106-3
E. (Exomalopsis s. str.),E. (Exomalopsis s. str.),sec106-3-3,sec106-3
Ancyla,Ancyla,sec107-1-1,sec107-1
Monoeca,Monoeca,sec108-1-1,sec108-1
T apinotaspis,T apinotaspis,sec108-1-2,sec108-1
Trigonopedia,Trigonopedia,sec108-1-6,sec108-1
Paratetrapedia,Paratetrapedia,sec108-1-6,sec108-1
Chalepogenus (Lanthanomelissa),Chalepogenus (Lanthanomelissa),sec108-1-7,sec108-1
Arhysoceble,Arhysoceble,sec108-1-8,sec108-1
Chalepogenus s. str,Chalepogenus s. str,sec108-1-8,sec108-1
C. (Lanthanomelissa),C. (Lanthanomelissa),sec108-2-1,sec108-2
C. (Chalepogenus s. str.),C. (Chalepogenus s. str.),sec108-2-1,sec108-2
P . (Xanthopedia),P . (Xanthopedia),sec108-3-2,sec108-3
P . (Tropidopedia),P . (Tropidopedia),sec108-3-3,sec108-3
P . (Amphipedia),P . (Amphipedia),sec108-3-3,sec108-3
P . (Lophopedia),P . (Lophopedia),sec108-3-4,sec108-3
P . (Paratetrapedia s. str.),P . (Paratetrapedia s. str.),sec108-3-4,sec108-3
Coelioxoides,Coelioxoides,sec109-1-1,sec109-1
Ctenoplectra,Ctenoplectra,sec110-1-1,sec110-1
Ctenoplectrina,Ctenoplectrina,sec110-1-1,sec110-1
Ancyloscelis,Ancyloscelis,sec111-1-1,sec111-1
Melitomella,Melitomella,sec111-1-1,sec111-1
Ptilothrix,Ptilothrix,sec111-1-6,sec111-1
D. (Diadasina s. str.),D. (Diadasina s. str.),sec111-2-1,sec111-2
D. (Leptometriella),D. (Leptometriella),sec111-2-1,sec111-2
Eucerinoda,Eucerinoda,sec112-1-1,sec112-1
Canephorula,Canephorula,sec112-1-2,sec112-1
Thygater,Thygater,sec112-1-4,sec112-1
Trichocerapis,Trichocerapis,sec112-1-4,sec112-1
Lophothygater,Lophothygater,sec112-1-6,sec112-1
Alloscirtetica,Alloscirtetica,sec112-1-7,sec112-1
Pachysvastra,Pachysvastra,sec112-1-9,sec112-1
Gaesochira,Gaesochira,sec112-1-1,sec112-1
Melissodes,Melissodes,sec112-1-1,sec112-1
Florilegus,Florilegus,sec112-1-1,sec112-1
Peponapis,Peponapis,sec112-1-1,sec112-1
Santiago,Santiago,sec112-1-1,sec112-1
Svastrina,Svastrina,sec112-1-1,sec112-1
Micronychapis,Micronychapis,sec112-1-1,sec112-1
Hamatothrix,Hamatothrix,sec112-1-1,sec112-1
Mirnapis,Mirnapis,sec112-1-1,sec112-1
Gaesischia (in part),Gaesischia (in part),sec112-1-1,sec112-1
Martinapis (Svastropsis),Martinapis (Svastropsis),sec112-1-2,sec112-1
Svastra,Svastra,sec112-1-2,sec112-1
Svastrides,Svastrides,sec112-1-2,sec112-1
Gaesischia (in part),Gaesischia (in part),sec112-1-2,sec112-1
Lophothygater,Lophothygater,sec112-1-2,sec112-1
Thygater,Thygater,sec112-1-2,sec112-1
Trichocerapis,Trichocerapis,sec112-1-2,sec112-1
Hamatothrix,Hamatothrix,sec112-1-2,sec112-1
Peponapis,Peponapis,sec112-1-2,sec112-1
Florilegus,Florilegus,sec112-1-2,sec112-1
Svastrina,Svastrina,sec112-1-3,sec112-1
Pachysvastra,Pachysvastra,sec112-1-3,sec112-1
Melissoptila,Melissoptila,sec112-1-3,sec112-1
Santiago,Santiago,sec112-1-3,sec112-1
Melissodes,Melissodes,sec112-1-3,sec112-1
Svastra,Svastra,sec112-1-3,sec112-1
Svastrides,Svastrides,sec112-1-3,sec112-1
Micronychapis,Micronychapis,sec112-1-3,sec112-1
Gaesochira,Gaesochira,sec112-1-3,sec112-1
Gaesischia (in part),Gaesischia (in part),sec112-1-3,sec112-1
Gaesischia (in part),Gaesischia (in part),sec112-1-4,sec112-1
Thygater,Thygater,sec112-2-1,sec112-2
Cemolobus,Cemolobus,sec112-2-2,sec112-2
Xenoglossa,Xenoglossa,sec112-2-3,sec112-2
Peponapis,Peponapis,sec112-2-4,sec112-2
Melissodes,Melissodes,sec112-2-6,sec112-2
Martinapis,Martinapis,sec112-2-6,sec112-2
T etraloniella (Pectinapis),T etraloniella (Pectinapis),sec112-2-8,sec112-2
Svastra (Anthedonia),Svastra (Anthedonia),sec112-2-9,sec112-2
T etraloniella (Loxoptilus),T etraloniella (Loxoptilus),sec112-2-1,sec112-2
Eucera (Synhalonia),Eucera (Synhalonia),sec112-2-1,sec112-2
Simanthedon,Simanthedon,sec112-2-1,sec112-2
Gaesischia (in part),Gaesischia (in part),sec112-2-1,sec112-2
T etraloniella(in part),T etraloniella(in part),sec112-2-1,sec112-2
Gaesischia (in part),Gaesischia (in part),sec112-2-1,sec112-2
Syntrichalonia,Syntrichalonia,sec112-2-1,sec112-2
Melissoptila,Melissoptila,sec112-2-1,sec112-2
Svastra,Svastra,sec112-2-1,sec112-2
Florilegus,Florilegus,sec112-2-1,sec112-2
T etraloniella(in part),T etraloniella(in part),sec112-2-1,sec112-2
Thygater,Thygater,sec112-3-1,sec112-3
Cemolobus,Cemolobus,sec112-3-2,sec112-3
Melissoptila,Melissoptila,sec112-3-4,sec112-3
Florilegus,Florilegus,sec112-3-5,sec112-3
Melissodes,Melissodes,sec112-3-6,sec112-3
Peponapis (in part),Peponapis (in part),sec112-3-6,sec112-3
Xenoglossa,Xenoglossa,sec112-3-7,sec112-3
Simanthedon,Simanthedon,sec112-3-8,sec112-3
Martinapis,Martinapis,sec112-3-1,sec112-3
Agapanthinus,Agapanthinus,sec112-3-1,sec112-3
Gaesischia,Gaesischia,sec112-3-1,sec112-3
T etraloniella(in part),T etraloniella(in part),sec112-3-1,sec112-3
Syntrichalonia,Syntrichalonia,sec112-3-1,sec112-3
Svastra (Anthedonia),Svastra (Anthedonia),sec112-3-1,sec112-3
Svastra,Svastra,sec112-3-1,sec112-3
T etraloniella (Loxoptilus),T etraloniella (Loxoptilus),sec112-3-1,sec112-3
T etraloniella(in part),T etraloniella(in part),sec112-3-1,sec112-3
Peponapis (in part),Peponapis (in part),sec112-3-1,sec112-3
Eucera (Synhalonia),Eucera (Synhalonia),sec112-3-1,sec112-3
T etraloniella (Pectinapis),T etraloniella (Pectinapis),sec112-3-1,sec112-3
Eucera (in part),Eucera (in part),sec112-4-2,sec112-4
Cubitalia,Cubitalia,sec112-4-2,sec112-4
T etralonia,T etralonia,sec112-4-3,sec112-4
Notolonia,Notolonia,sec112-4-4,sec112-4
Eucera (Synhalonia),Eucera (Synhalonia),sec112-4-5,sec112-4
T etraloniella,T etraloniella,sec112-4-5,sec112-4
A. (Megascirtetica),A. (Megascirtetica),sec112-5-1,sec112-5
A. (Alloscirtetica s. str.),A. (Alloscirtetica s. str.),sec112-5-1,sec112-5
C. (Opacula),C. (Opacula),sec112-6-1,sec112-6
C. (Cubitalia s. str.),C. (Cubitalia s. str.),sec112-6-2,sec112-6
C. (Pseudeucera),C. (Pseudeucera),sec112-6-2,sec112-6
E. (Synhalonia),E. (Synhalonia),sec112-7-1,sec112-7
E. (Hetereucera),E. (Hetereucera),sec112-7-3,sec112-7
F . (Euﬂorilegus),F . (Euﬂorilegus),sec112-8-1,sec112-8
F . (Floriraptor),F . (Floriraptor),sec112-8-2,sec112-8
F . (Florilegus s. str.),F . (Florilegus s. str.),sec112-8-2,sec112-8
F . (Euﬂorilegus),F . (Euﬂorilegus),sec112-9-1,sec112-9
F . (Floriraptor),F . (Floriraptor),sec112-9-2,sec112-9
F . (Florilegus s. str.),F . (Florilegus s. str.),sec112-9-2,sec112-9
G. (Gaesischiopsis),G. (Gaesischiopsis),sec112-10-2,sec112-10
G. (Gaesischiana),G. (Gaesischiana),sec112-10-3,sec112-10
G. (Gaesischia s. str.),G. (Gaesischia s. str.),sec112-10-3,sec112-10
G. (Prodasyhalonia),G. (Prodasyhalonia),sec112-10-4,sec112-10
G. (Dasyhalonia),G. (Dasyhalonia),sec112-10-5,sec112-10
G. (Pachyhalonia),G. (Pachyhalonia),sec112-10-5,sec112-10
G. (Gaesischiopsis),G. (Gaesischiopsis),sec112-11-2,sec112-11
G. (Gaesischiana),G. (Gaesischiana),sec112-11-3,sec112-11
G. (Gaesischia s. str.),G. (Gaesischia s. str.),sec112-11-3,sec112-11
G. (Prodasyhalonia),G. (Prodasyhalonia),sec112-11-4,sec112-11
G. (Dasyhalonia),G. (Dasyhalonia),sec112-11-5,sec112-11
M. (Martinapis s. str.),M. (Martinapis s. str.),sec112-12-1,sec112-12
M. (Svastropsis),M. (Svastropsis),sec112-12-1,sec112-12
M. (Apomelissodes),M. (Apomelissodes),sec112-13-1,sec112-13
M. (Callimelissodes),M. (Callimelissodes),sec112-13-2,sec112-13
M. (Psilomelissodes),M. (Psilomelissodes),sec112-13-4,sec112-13
M. (T achymelissodes),M. (T achymelissodes),sec112-13-5,sec112-13
M. (Melissodes s. str.),M. (Melissodes s. str.),sec112-13-6,sec112-13
M. (Ecplectica),M. (Ecplectica),sec112-13-7,sec112-13
M. (Eumelissodes),M. (Eumelissodes),sec112-13-7,sec112-13
M. (Apomelissodes),M. (Apomelissodes),sec112-14-1,sec112-14
M. (Callimelissodes),M. (Callimelissodes),sec112-14-2,sec112-14
M. (Psilomelissodes),M. (Psilomelissodes),sec112-14-4,sec112-14
M. (T achymelissodes),M. (T achymelissodes),sec112-14-5,sec112-14
M. (Melissodes s. str.),M. (Melissodes s. str.),sec112-14-6,sec112-14
M. (Ecplectica),M. (Ecplectica),sec112-14-7,sec112-14
M. (Heliomelissodes),M. (Heliomelissodes),sec112-14-2,sec112-14
M. (Psilomelissodes),M. (Psilomelissodes),sec112-14-3,sec112-14
M. (T achymelissodes),M. (T achymelissodes),sec112-14-4,sec112-14
"M. (Callimelissodes, Ecplectica,  Eumelissodes, Melissodes s. str.)","M. (Callimelissodes, Ecplectica,  Eumelissodes, Melissodes s. str.)",sec112-14-4,sec112-14
S. (Anthedonia),S. (Anthedonia),sec112-15-1,sec112-15
S. (Idiomelissodes),S. (Idiomelissodes),sec112-15-2,sec112-15
Brachymelissodes,Brachymelissodes,sec112-15-3,sec112-15
S. (Svastra s. str.),S. (Svastra s. str.),sec112-15-4,sec112-15
S. (Epimelissodes),S. (Epimelissodes),sec112-15-4,sec112-15
T . (T etralonia s. str.),T . (T etralonia s. str.),sec112-16-1,sec112-16
T . (Eucara),T . (Eucara),sec112-16-2,sec112-16
T . (Thygatina),T . (Thygatina),sec112-16-2,sec112-16
T . (Glazunovia),T . (Glazunovia),sec112-17-1,sec112-17
T . (Pectinapis),T . (Pectinapis),sec112-17-2,sec112-17
T . (Loxoptilus),T . (Loxoptilus),sec112-17-3,sec112-17
T . (T etraloniella s. str.),T . (T etraloniella s. str.),sec112-17-3,sec112-17
T . (Thygater s. str.),T . (Thygater s. str.),sec112-18-1,sec112-18
T . (Nectarodiaeta),T . (Nectarodiaeta),sec112-18-1,sec112-18
T . (Thygater s. str.),T . (Thygater s. str.),sec112-19-1,sec112-19
T . (Nectarodiaeta),T . (Nectarodiaeta),sec112-19-1,sec112-19
T . (Dithygater),T . (Dithygater),sec112-20-1,sec112-20
T . (Trichocerapis s. str.),T . (Trichocerapis s. str.),sec112-20-1,sec112-20
T . (Dithygater),T . (Dithygater),sec112-21-1,sec112-21
T . (Trichocerapis s. str.),T . (Trichocerapis s. str.),sec112-21-1,sec112-21
X. (Eoxenoglossa),X. (Eoxenoglossa),sec112-22-1,sec112-22
X. (Xenoglossa s. str.),X. (Xenoglossa s. str.),sec112-22-1,sec112-22
Anthophora,Anthophora,sec113-1-2,sec113-1
Amegilla,Amegilla,sec113-1-2,sec113-1
Pachymelus,Pachymelus,sec113-1-3,sec113-1
Deltoptila,Deltoptila,sec113-1-4,sec113-1
Elaphropoda,Elaphropoda,sec113-1-5,sec113-1
Habrophorula,Habrophorula,sec113-1-6,sec113-1
Habropoda,Habropoda,sec113-1-6,sec113-1
A. (Anthophora s. str.),A. (Anthophora s. str.),sec113-2-3,sec113-2
A. (Caranthophora),A. (Caranthophora),sec113-2-3,sec113-2
A. (Lophanthophora),A. (Lophanthophora),sec113-2-4,sec113-2
A. (Pyganthophora) (in part),A. (Pyganthophora) (in part),sec113-2-4,sec113-2
A. (Clisodon),A. (Clisodon),sec113-2-5,sec113-2
A. (Anthophoroides),A. (Anthophoroides),sec113-2-7,sec113-2
A. (Melea),A. (Melea),sec113-2-7,sec113-2
A. (Anthomegilla),A. (Anthomegilla),sec113-2-9,sec113-2
A. (Rhinomegilla),A. (Rhinomegilla),sec113-2-9,sec113-2
A. (Heliophila),A. (Heliophila),sec113-2-1,sec113-2
A. (Pyganthophora) (in part),A. (Pyganthophora) (in part),sec113-2-1,sec113-2
A. (Paramegilla)(in part),A. (Paramegilla)(in part),sec113-2-1,sec113-2
A. (Petalosternon),A. (Petalosternon),sec113-2-1,sec113-2
A. (Mystacanthophora),A. (Mystacanthophora),sec113-2-1,sec113-2
A. (Paramegilla)(in part),A. (Paramegilla)(in part),sec113-2-1,sec113-2
A. (Dasymegilla),A. (Dasymegilla),sec113-2-1,sec113-2
A. (Clisodon),A. (Clisodon),sec113-3-1,sec113-3
A. (Anthophora s. str.),A. (Anthophora s. str.),sec113-3-3,sec113-3
A. (Anthomegilla),A. (Anthomegilla),sec113-3-4,sec113-3
A. (Rhinomegilla),A. (Rhinomegilla),sec113-3-4,sec113-3
A. (Melea),A. (Melea),sec113-3-6,sec113-3
A. (Anthophoroides),A. (Anthophoroides),sec113-3-6,sec113-3
A. (Paramegilla)(in part),A. (Paramegilla)(in part),sec113-3-8,sec113-3
A. (Heliophila),A. (Heliophila),sec113-3-8,sec113-3
A. (Caranthophora)(in part),A. (Caranthophora)(in part),sec113-3-9,sec113-3
A. (Paramegilla)(in part),A. (Paramegilla)(in part),sec113-3-1,sec113-3
"A. (Caranthophora[in part], Dasymegilla,  Lophanthophora, Mystacanthophora[in part],  Paramegilla[in part], Petalosternon, Pyganthophora)","A. (Caranthophora[in part], Dasymegilla,  Lophanthophora, Mystacanthophora[in part],  Paramegilla[in part], Petalosternon, Pyganthophora)",sec113-3-1,sec113-3
A. (Mystacanthophora)(in part),A. (Mystacanthophora)(in part),sec113-3-1,sec113-3
P . (Pachymelopsis),P . (Pachymelopsis),sec113-4-1,sec113-4
P . (Pachymelus s. str.),P . (Pachymelus s. str.),sec113-4-1,sec113-4
Epicharis,Epicharis,sec114-1-1,sec114-1
Centris,Centris,sec114-1-1,sec114-1
C. (Ptilotopus),C. (Ptilotopus),sec114-2-2,sec114-2
C. (Schisthemisia),C. (Schisthemisia),sec114-2-3,sec114-2
C. (Paracentris),C. (Paracentris),sec114-2-4,sec114-2
E. (Hoplepicharis),E. (Hoplepicharis),sec114-3-2,sec114-3
E. (Epicharis s. str.),E. (Epicharis s. str.),sec114-3-3,sec114-3
E. (Epicharana),E. (Epicharana),sec114-3-3,sec114-3
E. (Parepicharis),E. (Parepicharis),sec114-3-4,sec114-3
E. (Anepicharis),E. (Anepicharis),sec114-3-6,sec114-3
E. (Triepicharis),E. (Triepicharis),sec114-3-6,sec114-3
E. (Cyphepicharis),E. (Cyphepicharis),sec114-3-7,sec114-3
E. (Epicharoides),E. (Epicharoides),sec114-3-8,sec114-3
E. (Epicharitides),E. (Epicharitides),sec114-3-8,sec114-3
Rhathymus,Rhathymus,sec115-1-1,sec115-1
Nanorhathymus,Nanorhathymus,sec115-1-1,sec115-1
Acanthopus,Acanthopus,sec116-1-1,sec116-1
Aglaomelissa,Aglaomelissa,sec116-1-4,sec116-1
Ctenioschelus,Ctenioschelus,sec116-1-4,sec116-1
Ericrocis,Ericrocis,sec116-1-6,sec116-1
Mesonychium,Mesonychium,sec116-1-6,sec116-1
Epiclopus,Epiclopus,sec116-1-7,sec116-1
Mesoplia,Mesoplia,sec116-1-8,sec116-1
Hopliphora,Hopliphora,sec116-1-8,sec116-1
M. (Mesoplia s. str.),M. (Mesoplia s. str.),sec116-2-1,sec116-2
M. (Eumelissa),M. (Eumelissa),sec116-2-1,sec116-2
Brachymelecta,Brachymelecta,sec117-1-1,sec117-1
Zacosmia,Zacosmia,sec117-1-2,sec117-1
Xeromelecta,Xeromelecta,sec117-1-3,sec117-1
Melecta,Melecta,sec117-1-3,sec117-1
Brachymelecta,Brachymelecta,sec117-2-1,sec117-2
Zacosmia,Zacosmia,sec117-2-2,sec117-2
Xeromelecta,Xeromelecta,sec117-2-3,sec117-2
Thyreomelecta,Thyreomelecta,sec117-2-2,sec117-2
A. (Acanthomelecta),A. (Acanthomelecta),sec117-3-1,sec117-3
A. (Afromelecta s. str.),A. (Afromelecta s. str.),sec117-3-1,sec117-3
M. (Pseudomelecta),M. (Pseudomelecta),sec117-4-2,sec117-4
M. (Paracrocisa),M. (Paracrocisa),sec117-4-2,sec117-4
M. (Eupavlovskia),M. (Eupavlovskia),sec117-4-3,sec117-4
"M, (Melectomimus)","M, (Melectomimus)",sec117-4-4,sec117-4
M. (Melecta s. str.),M. (Melecta s. str.),sec117-4-4,sec117-4
X. (Xeromelecta s. str.),X. (Xeromelecta s. str.),sec117-5-1,sec117-5
X. (Nesomelecta),X. (Nesomelecta),sec117-5-2,sec117-5
X. (Melectomorpha),X. (Melectomorpha),sec117-5-2,sec117-5
Exaerete,Exaerete,sec118-1-2,sec118-1
Aglae,Aglae,sec118-1-2,sec118-1
Euglossa,Euglossa,sec118-1-3,sec118-1
B (Psithyrus),B (Psithyrus),sec119-1-2,sec119-1
B. (Mendacibombus),B. (Mendacibombus),sec119-1-2,sec119-1
B. (Alpigenobombus),B. (Alpigenobombus),sec119-1-3,sec119-1
B. (Orientalibombus),B. (Orientalibombus),sec119-1-4,sec119-1
B. (Kallobombus),B. (Kallobombus),sec119-1-5,sec119-1
B. (Fraternobombus),B. (Fraternobombus),sec119-1-7,sec119-1
B. (Confusibombus),B. (Confusibombus),sec119-1-8,sec119-1
B. (Bombias),B. (Bombias),sec119-1-8,sec119-1
B. (Bombus s. str.),B. (Bombus s. str.),sec119-1-9,sec119-1
B. (Brachycephalibombus),B. (Brachycephalibombus),sec119-1-1,sec119-1
B. (Separatobombus),B. (Separatobombus),sec119-1-1,sec119-1
B. (Crotchiibombus),B. (Crotchiibombus),sec119-1-1,sec119-1
B. (Sibiricobombus),B. (Sibiricobombus),sec119-1-1,sec119-1
"B. (Pyrobombus, Festivobombus)","B. (Pyrobombus, Festivobombus)",sec119-1-1,sec119-1
B. (Cullumanobombus),B. (Cullumanobombus),sec119-1-1,sec119-1
B. (Ruﬁpedibombus),B. (Ruﬁpedibombus),sec119-1-1,sec119-1
B. (Dasybombus),B. (Dasybombus),sec119-1-1,sec119-1
B. (Alpinobombus),B. (Alpinobombus),sec119-1-1,sec119-1
B. (Robustobombus),B. (Robustobombus),sec119-1-2,sec119-1
B. (Rubicundobombus),B. (Rubicundobombus),sec119-1-2,sec119-1
B. (Coccineobombus),B. (Coccineobombus),sec119-1-2,sec119-1
B. (Senexibombus),B. (Senexibombus),sec119-1-2,sec119-1
B. (Tricornibombus),B. (Tricornibombus),sec119-1-2,sec119-1
B. (Laesobombus),B. (Laesobombus),sec119-1-2,sec119-1
B. (Subterraneobombus),B. (Subterraneobombus),sec119-1-2,sec119-1
B. (Rhodobombus),B. (Rhodobombus),sec119-1-3,sec119-1
B. (Fervidobombus),B. (Fervidobombus),sec119-1-3,sec119-1
B. (Thoracobombus),B. (Thoracobombus),sec119-1-3,sec119-1
B. (Mucidobombus),B. (Mucidobombus),sec119-1-3,sec119-1
B. (Eversmannibombus),B. (Eversmannibombus),sec119-1-3,sec119-1
B. (Psithyrus),B. (Psithyrus),sec119-2-1,sec119-2
B. (Alpigenobombus),B. (Alpigenobombus),sec119-2-2,sec119-2
B. (Mendacibombus),B. (Mendacibombus),sec119-2-4,sec119-2
B. (Sibiricobombus) (in part),B. (Sibiricobombus) (in part),sec119-2-5,sec119-2
B. (Ruﬁpedibombus),B. (Ruﬁpedibombus),sec119-2-6,sec119-2
B. (Orientalibombus),B. (Orientalibombus),sec119-2-7,sec119-2
B. (Melanobombus),B. (Melanobombus),sec119-2-8,sec119-2
B. (Coccineobombus),B. (Coccineobombus),sec119-2-9,sec119-2
B. (Bombus s. str.),B. (Bombus s. str.),sec119-2-1,sec119-2
B. (Separatobombus),B. (Separatobombus),sec119-2-1,sec119-2
B. (Fraternobombus),B. (Fraternobombus),sec119-2-1,sec119-2
B. (Crotchiibombus),B. (Crotchiibombus),sec119-2-1,sec119-2
B. (Rubicundobombus),B. (Rubicundobombus),sec119-2-1,sec119-2
B. (Robustobombus),B. (Robustobombus),sec119-2-1,sec119-2
B. (Alpinobombus),B. (Alpinobombus),sec119-2-1,sec119-2
B. (Funebribombus),B. (Funebribombus),sec119-2-1,sec119-2
B. (Confusibombus),B. (Confusibombus),sec119-2-1,sec119-2
B. (Bombias),B. (Bombias),sec119-2-1,sec119-2
B. (Cullumanobombus),B. (Cullumanobombus),sec119-2-2,sec119-2
B. (Megabombus),B. (Megabombus),sec119-2-2,sec119-2
B. (Fervidobombus) (in part),B. (Fervidobombus) (in part),sec119-2-2,sec119-2
B. (Subterraneobombus)(in part),B. (Subterraneobombus)(in part),sec119-2-2,sec119-2
B. (Dasybombus),B. (Dasybombus),sec119-2-2,sec119-2
B. (Brachycephalibombus),B. (Brachycephalibombus),sec119-2-2,sec119-2
B. (Laesobombus),B. (Laesobombus),sec119-2-2,sec119-2
B. (Eversmannibombus),B. (Eversmannibombus),sec119-2-2,sec119-2
B. (Exilobombus),B. (Exilobombus),sec119-2-2,sec119-2
B. (Tricornibombus),B. (Tricornibombus),sec119-2-2,sec119-2
B. (Senexibombus),B. (Senexibombus),sec119-2-3,sec119-2
B. (Sibiricobombus) (in part),B. (Sibiricobombus) (in part),sec119-2-3,sec119-2
B. (Diversobombus),B. (Diversobombus),sec119-2-3,sec119-2
B. (Thoracobombus),B. (Thoracobombus),sec119-2-3,sec119-2
B. (Rhodobombus) (in part),B. (Rhodobombus) (in part),sec119-2-3,sec119-2
B. (Thoracobombus) (in part),B. (Thoracobombus) (in part),sec119-2-3,sec119-2
B. (Mucidobombus),B. (Mucidobombus),sec119-2-3,sec119-2
B. (Subterraneobombus)(in part),B. (Subterraneobombus)(in part),sec119-2-3,sec119-2
B. (Rhodobombus) (in part),B. (Rhodobombus) (in part),sec119-2-3,sec119-2
B. (Fervidobombus) (in part),B. (Fervidobombus) (in part),sec119-2-3,sec119-2
Trigonisca,Trigonisca,sec120-1-1,sec120-1
Trichotrigona,Trichotrigona,sec120-1-3,sec120-1
Oxytrigona,Oxytrigona,sec120-1-4,sec120-1
Cephalotrigona,Cephalotrigona,sec120-1-5,sec120-1
Trigona,Trigona,sec120-1-5,sec120-1
Lestrimelitta,Lestrimelitta,sec120-1-6,sec120-1
Melipona,Melipona,sec120-1-7,sec120-1
Nannotrigona,Nannotrigona,sec120-1-9,sec120-1
Scaptotrigona,Scaptotrigona,sec120-1-9,sec120-1
Paratrigona,Paratrigona,sec120-1-1,sec120-1
Partamona,Partamona,sec120-1-1,sec120-1
Meliwillea,Meliwillea,sec120-1-1,sec120-1
Plebeia,Plebeia,sec120-1-1,sec120-1
Paratrigonoides,Paratrigonoides,sec120-1-1,sec120-1
Nogueirapis,Nogueirapis,sec120-1-1,sec120-1
Cleptotrigona,Cleptotrigona,sec120-2-2,sec120-2
Liotrigona,Liotrigona,sec120-2-3,sec120-2
Hypotrigona,Hypotrigona,sec120-2-3,sec120-2
Dactylurina,Dactylurina,sec120-2-4,sec120-2
Meliponula,Meliponula,sec120-2-5,sec120-2
Plebeina,Plebeina,sec120-2-5,sec120-2
Trigona,Trigona,sec120-3-1,sec120-3
Pariotrigona,Pariotrigona,sec120-3-2,sec120-3
Lisotrigona,Lisotrigona,sec120-3-2,sec120-3
Trigona,Trigona,sec120-4-1,sec120-4
