id,description,parent
B. (Psithyrus),B. (Psithyrus),sec119-2-1
B. (Alpigenobombus),B. (Alpigenobombus),sec119-2-2
B. (Mendacibombus),B. (Mendacibombus),sec119-2-4
B. (Sibiricobombus) (in part),B. (Sibiricobombus) (in part),sec119-2-5
B. (Ruﬁpedibombus),B. (Ruﬁpedibombus),sec119-2-6
B. (Orientalibombus),B. (Orientalibombus),sec119-2-7
B. (Melanobombus),B. (Melanobombus),sec119-2-8
B. (Coccineobombus),B. (Coccineobombus),sec119-2-9
B. (Bombus s. str.),B. (Bombus s. str.),sec119-2-1
B. (Separatobombus),B. (Separatobombus),sec119-2-1
B. (Fraternobombus),B. (Fraternobombus),sec119-2-1
B. (Crotchiibombus),B. (Crotchiibombus),sec119-2-1
B. (Rubicundobombus),B. (Rubicundobombus),sec119-2-1
B. (Robustobombus),B. (Robustobombus),sec119-2-1
B. (Alpinobombus),B. (Alpinobombus),sec119-2-1
B. (Funebribombus),B. (Funebribombus),sec119-2-1
B. (Confusibombus),B. (Confusibombus),sec119-2-1
B. (Bombias),B. (Bombias),sec119-2-1
B. (Cullumanobombus),B. (Cullumanobombus),sec119-2-2
B. (Megabombus),B. (Megabombus),sec119-2-2
B. (Fervidobombus) (in part),B. (Fervidobombus) (in part),sec119-2-2
B. (Subterraneobombus)(in part),B. (Subterraneobombus)(in part),sec119-2-2
B. (Dasybombus),B. (Dasybombus),sec119-2-2
B. (Brachycephalibombus),B. (Brachycephalibombus),sec119-2-2
B. (Laesobombus),B. (Laesobombus),sec119-2-2
B. (Eversmannibombus),B. (Eversmannibombus),sec119-2-2
B. (Exilobombus),B. (Exilobombus),sec119-2-2
B. (Tricornibombus),B. (Tricornibombus),sec119-2-2
B. (Senexibombus),B. (Senexibombus),sec119-2-3
B. (Sibiricobombus) (in part),B. (Sibiricobombus) (in part),sec119-2-3
B. (Diversobombus),B. (Diversobombus),sec119-2-3
B. (Thoracobombus),B. (Thoracobombus),sec119-2-3
B. (Rhodobombus) (in part),B. (Rhodobombus) (in part),sec119-2-3
B. (Thoracobombus) (in part),B. (Thoracobombus) (in part),sec119-2-3
B. (Mucidobombus),B. (Mucidobombus),sec119-2-3
B. (Subterraneobombus)(in part),B. (Subterraneobombus)(in part),sec119-2-3
B. (Rhodobombus) (in part),B. (Rhodobombus) (in part),sec119-2-3
B. (Fervidobombus) (in part),B. (Fervidobombus) (in part),sec119-2-3
