id,description,parent
C. (Liopoeum),C. (Liopoeum),sec59-2-1
C. (Verbenapis),C. (Verbenapis),sec59-2-3
C. (Calliopsis s. str.),C. (Calliopsis s. str.),sec59-2-4
"C. (Calliopsima) —. Labrum with basal area delimited by weak ridge; mid- dle basitarsus much longer than hind; propodeal triangle basally with weak striae, not delimited posteriorly by  strong transverse ridge (nearctic) ..............C. (Perissander)","C. (Calliopsima) —. Labrum with basal area delimited by weak ridge; mid- dle basitarsus much longer than hind; propodeal triangle basally with weak striae, not delimited posteriorly by  strong transverse ridge (nearctic) ..............C. (Perissander)",sec59-2-5
,,sec59-2-5
C. (Ceroliopoeum),C. (Ceroliopoeum),sec59-2-7
C. (Hypomacrotera),C. (Hypomacrotera),sec59-2-8
C. (Liopoeodes),C. (Liopoeodes),sec59-2-8
C. (Micronomadopsis),C. (Micronomadopsis),sec59-2-9
C. (Nomadopsis),C. (Nomadopsis),sec59-2-9
