id,description,parent
A. (Orandrena),A. (Orandrena),sec51-5-3
A. (Cryptandrena) (in part),A. (Cryptandrena) (in part),sec51-5-3
A. (Avandrena)(in part),A. (Avandrena)(in part),sec51-5-4
A. (Rufandrena),A. (Rufandrena),sec51-5-5
A. (Chlorandrena),A. (Chlorandrena),sec51-5-6
A. (Lepidandrena),A. (Lepidandrena),sec51-5-6
A. (Melanapis),A. (Melanapis),sec51-5-9
A. (Plastandrena),A. (Plastandrena),sec51-5-1
A. (Agandrena),A. (Agandrena),sec51-5-1
A. (Scitandrena),A. (Scitandrena),sec51-5-1
A. (Suandrena),A. (Suandrena),sec51-5-1
A. (Pallandrena),A. (Pallandrena),sec51-5-1
A. (Charitandrena),A. (Charitandrena),sec51-5-1
A. (Ulandrena),A. (Ulandrena),sec51-5-1
A. (Cubiandrena),A. (Cubiandrena),sec51-5-1
A. (Avandrena)(in part),A. (Avandrena)(in part),sec51-5-1
A. (Brachyandrena),A. (Brachyandrena),sec51-5-1
A. (Biareolina),A. (Biareolina),sec51-5-1
A. (Trachandrena),A. (Trachandrena),sec51-5-1
A. (Aenandrena),A. (Aenandrena),sec51-5-2
A. (Micrandrena)(in part) and A. (Fumandrena),A. (Micrandrena)(in part) and A. (Fumandrena),sec51-5-2
A. (Graecandrena),A. (Graecandrena),sec51-5-2
A. (Aciandr ena),A. (Aciandr ena),sec51-5-2
A. (Distandrena),A. (Distandrena),sec51-5-2
A. (Parandrenella),A. (Parandrenella),sec51-5-2
A. (Hyperandrena),A. (Hyperandrena),sec51-5-2
A. (Didonia) (in part),A. (Didonia) (in part),sec51-5-3
A. (Chrysandrena),A. (Chrysandrena),sec51-5-3
A. (Euandrena),A. (Euandrena),sec51-5-3
A. (Simandrena),A. (Simandrena),sec51-5-3
A. (T aeniandrena)and A. (Troandrena),A. (T aeniandrena)and A. (Troandrena),sec51-5-3
A. (Hoplandrena),A. (Hoplandrena),sec51-5-3
A. (Nobandrena),A. (Nobandrena),sec51-5-3
A. (Melittoides),A. (Melittoides),sec51-5-3
A. (Scaphandrena),A. (Scaphandrena),sec51-5-3
A. (Poecilandrena),A. (Poecilandrena),sec51-5-4
A. (Poliandrena)(in part) and A. (T arsandrena)(in part),A. (Poliandrena)(in part) and A. (T arsandrena)(in part),sec51-5-4
A. (Cryptandrena) (in part),A. (Cryptandrena) (in part),sec51-5-4
A. (Cordandrena),A. (Cordandrena),sec51-5-4
A. (Thysandrena),A. (Thysandrena),sec51-5-4
A. (Leucandrena) (in part) —. Basal area of labrum short-triangular A. (Larandrena),A. (Leucandrena) (in part) —. Basal area of labrum short-triangular A. (Larandrena),sec51-5-4
,,sec51-5-4
A. (Andrena s. str.),A. (Andrena s. str.),sec51-5-5
A. (Cnemidandrena),A. (Cnemidandrena),sec51-5-5
A. (Campylogaster),A. (Campylogaster),sec51-5-5
A. (Oreomelissa),A. (Oreomelissa),sec51-5-5
