id,description,parent
B (Psithyrus),B (Psithyrus),sec119-1-2
B. (Mendacibombus),B. (Mendacibombus),sec119-1-2
B. (Alpigenobombus),B. (Alpigenobombus),sec119-1-3
B. (Orientalibombus),B. (Orientalibombus),sec119-1-4
B. (Kallobombus),B. (Kallobombus),sec119-1-5
B. (Fraternobombus),B. (Fraternobombus),sec119-1-7
B. (Confusibombus),B. (Confusibombus),sec119-1-8
B. (Bombias),B. (Bombias),sec119-1-8
B. (Bombus s. str.),B. (Bombus s. str.),sec119-1-9
B. (Brachycephalibombus),B. (Brachycephalibombus),sec119-1-1
B. (Separatobombus),B. (Separatobombus),sec119-1-1
B. (Crotchiibombus),B. (Crotchiibombus),sec119-1-1
B. (Sibiricobombus),B. (Sibiricobombus),sec119-1-1
"B. (Pyrobombus, Festivobombus)","B. (Pyrobombus, Festivobombus)",sec119-1-1
B. (Cullumanobombus),B. (Cullumanobombus),sec119-1-1
B. (Ruﬁpedibombus),B. (Ruﬁpedibombus),sec119-1-1
B. (Dasybombus),B. (Dasybombus),sec119-1-1
B. (Alpinobombus),B. (Alpinobombus),sec119-1-1
B. (Robustobombus),B. (Robustobombus),sec119-1-2
B. (Rubicundobombus),B. (Rubicundobombus),sec119-1-2
B. (Coccineobombus),B. (Coccineobombus),sec119-1-2
B. (Senexibombus),B. (Senexibombus),sec119-1-2
B. (Tricornibombus),B. (Tricornibombus),sec119-1-2
B. (Laesobombus),B. (Laesobombus),sec119-1-2
B. (Subterraneobombus),B. (Subterraneobombus),sec119-1-2
B. (Rhodobombus),B. (Rhodobombus),sec119-1-3
B. (Fervidobombus),B. (Fervidobombus),sec119-1-3
B. (Thoracobombus),B. (Thoracobombus),sec119-1-3
B. (Mucidobombus),B. (Mucidobombus),sec119-1-3
B. (Eversmannibombus),B. (Eversmannibombus),sec119-1-3
