id,description,parent
A. (Pelicandrena),A. (Pelicandrena),sec51-4-2
A. (Diandrena),A. (Diandrena),sec51-4-3
A. (Callandrena) (in part),A. (Callandrena) (in part),sec51-4-4
A. (Onagrandrena)(in part),A. (Onagrandrena)(in part),sec51-4-5
A. (Parandrena),A. (Parandrena),sec51-4-5
A. (Dactylandrena),A. (Dactylandrena),sec51-4-6
A. (Genyandrena),A. (Genyandrena),sec51-4-2
A. (Xiphandrena),A. (Xiphandrena),sec51-4-2
A. (Oligandrena),A. (Oligandrena),sec51-4-2
A. (Archiandrena),A. (Archiandrena),sec51-4-2
A. (Belandrena) (in part),A. (Belandrena) (in part),sec51-4-3
A. (Geissandrena),A. (Geissandrena),sec51-4-3
A. (Notandrena),A. (Notandrena),sec51-4-3
A. (Larandrena),A. (Larandrena),sec51-4-3
A. (Derandrena)(in part),A. (Derandrena)(in part),sec51-4-3
A. (Anchandrena),A. (Anchandrena),sec51-4-3
A. (Holandrena) (in part),A. (Holandrena) (in part),sec51-4-3
A. (Tylandrena),A. (Tylandrena),sec51-4-3
A. (Gonandrena) (in part),A. (Gonandrena) (in part),sec51-4-3
A. (Leucandrena) (in part),A. (Leucandrena) (in part),sec51-4-3
A. (Andrena s. str.)(in part),A. (Andrena s. str.)(in part),sec51-4-3
A. (Holandrena) (in part),A. (Holandrena) (in part),sec51-4-4
A. (Rhaphandrena),A. (Rhaphandrena),sec51-4-4
A. (Cnemidandrena),A. (Cnemidandrena),sec51-4-4
A. (Andrena s. str.)(in part),A. (Andrena s. str.)(in part),sec51-4-4
A. (Ptilandrena) (in part),A. (Ptilandrena) (in part),sec51-4-4
A. (Scoliandrena),A. (Scoliandrena),sec51-4-4
A. (Augandrena),A. (Augandrena),sec51-4-4
A. (Callandrena) (in part),A. (Callandrena) (in part),sec51-4-4
A. (Simandrena) (in part),A. (Simandrena) (in part),sec51-4-4
A. (Micrandrena),A. (Micrandrena),sec51-4-4
A. (Plastandrena) (in part),A. (Plastandrena) (in part),sec51-4-5
A. (Trachandrena),A. (Trachandrena),sec51-4-5
A. (Scrapteropsis),A. (Scrapteropsis),sec51-4-5
A. (T aeniandrena),A. (T aeniandrena),sec51-4-5
A. (Scaphandrena) (in part),A. (Scaphandrena) (in part),sec51-4-5
A. (Melandrena) (in part),A. (Melandrena) (in part),sec51-4-5
A. (Onagrandrena)(in part),A. (Onagrandrena)(in part),sec51-4-5
A. (Scaphandrena) (in part),A. (Scaphandrena) (in part),sec51-4-5
A. (Dasyandrena) (in part),A. (Dasyandrena) (in part),sec51-4-5
A. (Psammandrena),A. (Psammandrena),sec51-4-5
A. (Scaphandrena) (in part),A. (Scaphandrena) (in part),sec51-4-6
A. (Rhacandrena),A. (Rhacandrena),sec51-4-6
A. (Simandrena) (in part),A. (Simandrena) (in part),sec51-4-6
A. (Euandrena)(in part),A. (Euandrena)(in part),sec51-4-6
A. (Euandrena)(in part),A. (Euandrena)(in part),sec51-4-6
A. (Dasyandrena) (in part),A. (Dasyandrena) (in part),sec51-4-6
A. (Oxyandrena),A. (Oxyandrena),sec51-4-6
A. (Thysandrena) (in part),A. (Thysandrena) (in part),sec51-4-6
A. (Leucandrena) (in part),A. (Leucandrena) (in part),sec51-4-6
A. (Melandrena) (in part),A. (Melandrena) (in part),sec51-4-6
