id,description,parent
Parapsaenythia,Parapsaenythia,sec53-2-2
Psaenythia,Psaenythia,sec53-2-3
Liphanthus (in part),Liphanthus (in part),sec53-2-4
Anthrenoides,Anthrenoides,sec53-2-5
Protandrena s. str.,Protandrena s. str.,sec53-2-5
Neffapis,Neffapis,sec53-2-6
Liphanthus (in part),Liphanthus (in part),sec53-2-7
Chaeturginus,Chaeturginus,sec53-2-8
Pseudopanurgus,Pseudopanurgus,sec53-2-9
Anthemurgus,Anthemurgus,sec53-2-1
Rhophitulus,Rhophitulus,sec53-2-1
Protandrena (in part),Protandrena (in part),sec53-2-1
