id,description,parent
A. (Immanthidium),A. (Immanthidium),sec82-3-1
A. (Zosteranthidium),A. (Zosteranthidium),sec82-3-3
A. (Nigranthidium),A. (Nigranthidium),sec82-3-4
A. (Domanthidium),A. (Domanthidium),sec82-3-5
A. (Oranthidium),A. (Oranthidium),sec82-3-6
A. (Afranthidium s. str.),A. (Afranthidium s. str.),sec82-3-6
A. (Mesanthidium),A. (Mesanthidium),sec82-3-7
A. (Xenanthidium),A. (Xenanthidium),sec82-3-8
A. (Capanthidium),A. (Capanthidium),sec82-3-9
A. (Mesanthidiellum),A. (Mesanthidiellum),sec82-3-1
A. (Branthidium),A. (Branthidium),sec82-3-1
