id,description,parent
H. (Capicoloides),H. (Capicoloides),sec70-3-2
H. (Capicola),H. (Capicola),sec70-3-2
H. (Xeralictoides),H. (Xeralictoides),sec70-3-3
H. (Panurgomia),H. (Panurgomia),sec70-3-4
H. (Carinapis),H. (Carinapis),sec70-3-7
H. (Hesperapis s. str.),H. (Hesperapis s. str.),sec70-3-7
H. (Zacesta),H. (Zacesta),sec70-3-8
H. (Disparapis) —. First ﬂagellar segment equal to or shorter than second ................................................................ H. (Amblyapis),H. (Disparapis) —. First ﬂagellar segment equal to or shorter than second ................................................................ H. (Amblyapis),sec70-3-9
,,sec70-3-9
H. (Zacesta),H. (Zacesta),sec70-3-1
,,sec70-3-1
