id,description,parent
L. (Lasioglossum s. str.),L. (Lasioglossum s. str.),sec66-10-1
L. (Evylaeus),L. (Evylaeus),sec66-10-2
L. (Sphecodogastra),L. (Sphecodogastra),sec66-10-3
L. (Hemihalictus),L. (Hemihalictus),sec66-10-4
L. (Eickwortia),L. (Eickwortia),sec66-10-5
L. (Lasioglossum s. str.),L. (Lasioglossum s. str.),sec66-10-2
L. (Ctenonomia),L. (Ctenonomia),sec66-10-2
L. (Acanthalictus),L. (Acanthalictus),sec66-10-3
L. (Paradialictus),L. (Paradialictus),sec66-10-4
L. (Sellalictus),L. (Sellalictus),sec66-10-5
L. (Sudila),L. (Sudila),sec66-10-6
L. (Evylaeus),L. (Evylaeus),sec66-10-7
L. (Dialictus),L. (Dialictus),sec66-10-7
