id,description,parent
Hyleoides,Hyleoides,sec47-1-1
Pharohylaeus,Pharohylaeus,sec47-1-2
Xenorhiza,Xenorhiza,sec47-1-5
Calloprosopis,Calloprosopis,sec47-1-6
Hylaeus,Hylaeus,sec47-1-6
Hemirhiza,Hemirhiza,sec47-1-8
Amphylaeus,Amphylaeus,sec47-1-8
Meroglossa,Meroglossa,sec47-1-9
Palaeorhiza,Palaeorhiza,sec47-1-9
,,sec47-1-1
Xenorhiza,Xenorhiza,sec47-1-1
Palaeorhiza,Palaeorhiza,sec47-1-1
Hylaeus (in part),Hylaeus (in part),sec47-1-1
Hemirhiza,Hemirhiza,sec47-1-1
Calloprosopis,Calloprosopis,sec47-1-1
(in part),(in part),sec47-1-1
