id,description,parent
Halictus,Halictus,sec66-2-2
Pseudagapostemon,Pseudagapostemon,sec66-2-2
Paragapostemon,Paragapostemon,sec66-2-4
Rhinetula,Rhinetula,sec66-2-4
,,sec66-2-5
Agapostemon,Agapostemon,sec66-2-6
Mexalictus,Mexalictus,sec66-2-7
Habralictus,Habralictus,sec66-2-8
Microsphecodes,Microsphecodes,sec66-2-1
Dinagapostemon,Dinagapostemon,sec66-2-1
Ruizantheda,Ruizantheda,sec66-2-1
Caenohalictus,Caenohalictus,sec66-2-1
Ptilocleptis,Ptilocleptis,sec66-2-1
Sphecodes,Sphecodes,sec66-2-1
Nesosphecodes,Nesosphecodes,sec66-2-1
