id,description,parent
Anthidium,Anthidium,sec82-1-3
Afranthidium (in part),Afranthidium (in part),sec82-1-3
Serapista,Serapista,sec82-1-4
Anthidioma,Anthidioma,sec82-1-5
Pachyanthidium (in part),Pachyanthidium (in part),sec82-1-6
Neanthidium,Neanthidium,sec82-1-8
Gnathanthidium,Gnathanthidium,sec82-1-9
Afranthidium (in part),Afranthidium (in part),sec82-1-9
Indanthidium,Indanthidium,sec82-1-1
Pseudoanthidium,Pseudoanthidium,sec82-1-1
Aspidosmia,Aspidosmia,sec82-1-1
Icteranthidium,Icteranthidium,sec82-1-1
Euaspis,Euaspis,sec82-1-1
Trachusoides,Trachusoides,sec82-1-1
Trachusa,Trachusa,sec82-1-1
Apianthidium,Apianthidium,sec82-1-1
Acedanthidium,Acedanthidium,sec82-1-1
Larinostelis,Larinostelis,sec82-1-2
Eoanthidium,Eoanthidium,sec82-1-2
Cyphanthidium,Cyphanthidium,sec82-1-2
Plesianthidium,Plesianthidium,sec82-1-2
Benanthis,Benanthis,sec82-1-2
Rhodanthidium,Rhodanthidium,sec82-1-2
Bathanthidium,Bathanthidium,sec82-1-2
Anthidiellum (in part),Anthidiellum (in part),sec82-1-2
Stelis (in part),Stelis (in part),sec82-1-2
Afrostelis,Afrostelis,sec82-1-2
Xenostelis,Xenostelis,sec82-1-2
