id,description,parent
M. (Melanosarus),M. (Melanosarus),sec84-5-2
M. (Moureapis),M. (Moureapis),sec84-5-4
M. (Pseudocentron),M. (Pseudocentron),sec84-5-4
M. (Acentron),M. (Acentron),sec84-5-5
M. (Leptorachis),M. (Leptorachis),sec84-5-5
M. (Grosapis),M. (Grosapis),sec84-5-8
M. (Sayapis),M. (Sayapis),sec84-5-8
M. (Megachile s. str.)(in part),M. (Megachile s. str.)(in part),sec84-5-1
M. (Chrysosarus),M. (Chrysosarus),sec84-5-1
M. (Schrottkyapis),M. (Schrottkyapis),sec84-5-1
M. (Chelostomoides),M. (Chelostomoides),sec84-5-1
M. (Stelodides),M. (Stelodides),sec84-5-1
M. (Gronoceras),M. (Gronoceras),sec84-5-1
M. (Callomegachile),M. (Callomegachile),sec84-5-1
M. (Pseudomegachile),M. (Pseudomegachile),sec84-5-1
M. (Argyropile),M. (Argyropile),sec84-5-1
,,sec84-5-1
M. (Ptilosarus),M. (Ptilosarus),sec84-5-1
M. (Eutricharaea),M. (Eutricharaea),sec84-5-2
M. (Trichurochile),M. (Trichurochile),sec84-5-2
M. (Tylomegachile)(in part),M. (Tylomegachile)(in part),sec84-5-2
M. (Megachiloides) (in part),M. (Megachiloides) (in part),sec84-5-2
M. (Dasymegachile),M. (Dasymegachile),sec84-5-2
M. (Litomegachile),M. (Litomegachile),sec84-5-2
M. (Megachile s. str.)(in part),M. (Megachile s. str.)(in part),sec84-5-2
M. (Austromegachile) (in part),M. (Austromegachile) (in part),sec84-5-2
M. (Tylomegachile)(in part),M. (Tylomegachile)(in part),sec84-5-2
M. (Austromegachile) (in part),M. (Austromegachile) (in part),sec84-5-2
M. (Cressoniella),M. (Cressoniella),sec84-5-3
M. (Xanthosarus),M. (Xanthosarus),sec84-5-3
M. (Rhyssomegachile),M. (Rhyssomegachile),sec84-5-3
M. (Ptilosaroides),M. (Ptilosaroides),sec84-5-3
M. (Neochelynia),M. (Neochelynia),sec84-5-3
