id,description,parent
A. (Stenomelissa),A. (Stenomelissa),sec51-8-2
A. (Habromelissa),A. (Habromelissa),sec51-8-3
A. (Notandrena)(in part),A. (Notandrena)(in part),sec51-8-4
A. (Poecilandrena),A. (Poecilandrena),sec51-8-5
A. (Oreomelissa),A. (Oreomelissa),sec51-8-7
A. (Calomelissa),A. (Calomelissa),sec51-8-7
A. (Chlorandrena)(in part),A. (Chlorandrena)(in part),sec51-8-8
A. (Holandrena),A. (Holandrena),sec51-8-8
A. (Hoplandrena),A. (Hoplandrena),sec51-8-9
A. (Andrena s. str.)(in part),A. (Andrena s. str.)(in part),sec51-8-1
A. (Andrena s. str.)(in part),A. (Andrena s. str.)(in part),sec51-8-1
A. (Plastandrena) (in part),A. (Plastandrena) (in part),sec51-8-1
A. (Plastandrena) (in part),A. (Plastandrena) (in part),sec51-8-1
A. (Trachandrena),A. (Trachandrena),sec51-8-1
A. (Micrandrena),A. (Micrandrena),sec51-8-1
A. (Cnemidandrena),A. (Cnemidandrena),sec51-8-1
A. (Notandrena),A. (Notandrena),sec51-8-1
A. (Chlorandrena)(in part),A. (Chlorandrena)(in part),sec51-8-1
A. (Melandrena),A. (Melandrena),sec51-8-1
A. (Notandrena)(in part),A. (Notandrena)(in part),sec51-8-2
A. (Simandrena),A. (Simandrena),sec51-8-2
A. (T aeniandrena),A. (T aeniandrena),sec51-8-2
A. (Euandrena),A. (Euandrena),sec51-8-2
