id,description,parent
H. (Gongyloprosopis),H. (Gongyloprosopis),sec47-4-1
H. (Spatulariella),H. (Spatulariella),sec47-4-3
H. (Hylaeopsis),H. (Hylaeopsis),sec47-4-4
H. (Hylaeana),H. (Hylaeana),sec47-4-4
H. (Cephalylaeus),H. (Cephalylaeus),sec47-4-5
H. (Prosopella),H. (Prosopella),sec47-4-6
H. (Hylaeus s. str.),H. (Hylaeus s. str.),sec47-4-7
H. (Metziella),H. (Metziella),sec47-4-8
H. (Cephylaeus),H. (Cephylaeus),sec47-4-9
H. (Prosopis),H. (Prosopis),sec47-4-1
H. (Paraprosopis),H. (Paraprosopis),sec47-4-1
