id,description,parent
A. (Rufandrena),A. (Rufandrena),sec51-6-1
A. (Holandrena) (in part),A. (Holandrena) (in part),sec51-6-4
A. (Melanapis),A. (Melanapis),sec51-6-4
A. (Brachyandrena),A. (Brachyandrena),sec51-6-5
A. (Biareolina),A. (Biareolina),sec51-6-6
A. (Trachandrena),A. (Trachandrena),sec51-6-7
A. (Agandrena),A. (Agandrena),sec51-6-8
A. (Plastandrena),A. (Plastandrena),sec51-6-8
A. (Scitandrena),A. (Scitandrena),sec51-6-1
A. (Campylogaster) (in part),A. (Campylogaster) (in part),sec51-6-1
A. (Cubiandrena),A. (Cubiandrena),sec51-6-1
A. (Micrandrena)(in part) and A. (Fumandrena),A. (Micrandrena)(in part) and A. (Fumandrena),sec51-6-1
A. (Distandrena),A. (Distandrena),sec51-6-1
A. (Aciandrena),A. (Aciandrena),sec51-6-1
A. (Graecandrena),A. (Graecandrena),sec51-6-1
A. (T aeniandrena)and A. (Troandrena),A. (T aeniandrena)and A. (Troandrena),sec51-6-1
A. (Charitandrena),A. (Charitandrena),sec51-6-2
A. (Didonia) (in part),A. (Didonia) (in part),sec51-6-2
A. (Cryptandrena),A. (Cryptandrena),sec51-6-2
A. (Chlorandrena),A. (Chlorandrena),sec51-6-2
A. (Suandrena),A. (Suandrena),sec51-6-2
A. (Hoplandrena) (in part),A. (Hoplandrena) (in part),sec51-6-2
A. (Cordandrena),A. (Cordandrena),sec51-6-2
A. (Aenandrena),A. (Aenandrena),sec51-6-2
A. (Thysandrena),A. (Thysandrena),sec51-6-2
A. (Simandrena),A. (Simandrena),sec51-6-3
A. (Melandrena) (in part),A. (Melandrena) (in part),sec51-6-3
A. (Micrandrena)(in part),A. (Micrandrena)(in part),sec51-6-3
A. (Hyperandrena),A. (Hyperandrena),sec51-6-3
A. (Euandrena),A. (Euandrena),sec51-6-3
A. (Zonandrena),A. (Zonandrena),sec51-6-3
A. (Melandrena) (in part),A. (Melandrena) (in part),sec51-6-3
A. (Pallandrena),A. (Pallandrena),sec51-6-3
A. (Ulandrena) (in part),A. (Ulandrena) (in part),sec51-6-3
A. (Poliandrena)(in part),A. (Poliandrena)(in part),sec51-6-3
A. (Avandrena),A. (Avandrena),sec51-6-4
A. (Leucandrena),A. (Leucandrena),sec51-6-4
A. (Melittoides),A. (Melittoides),sec51-6-4
A. (Nobandrena),A. (Nobandrena),sec51-6-4
A. (Scaphandrena),A. (Scaphandrena),sec51-6-4
A. (Parandrenella),A. (Parandrenella),sec51-6-4
A. (Poecilandrena),A. (Poecilandrena),sec51-6-4
A. (Ulandrena) (in part),A. (Ulandrena) (in part),sec51-6-4
A. (Orandrena),A. (Orandrena),sec51-6-4
A. (Poliandrena)(in part) and A. (T arsandrena)(in part),A. (Poliandrena)(in part) and A. (T arsandrena)(in part),sec51-6-4
A. (Campylogaster) (in part),A. (Campylogaster) (in part),sec51-6-5
A. (Holandrena) (in part),A. (Holandrena) (in part),sec51-6-5
A. (Cnemidandrena),A. (Cnemidandrena),sec51-6-5
A. (Poliandrena)(in part) and A. (T arsandrena)(in part),A. (Poliandrena)(in part) and A. (T arsandrena)(in part),sec51-6-5
A. (Holandrena) (in part),A. (Holandrena) (in part),sec51-6-5
A. (Carandrena),A. (Carandrena),sec51-6-5
A. (Notandrena),A. (Notandrena),sec51-6-5
A. (Larandrena),A. (Larandrena),sec51-6-5
A. (Andrena s. str.),A. (Andrena s. str.),sec51-6-5
A. (Ptilandrena),A. (Ptilandrena),sec51-6-5
A. (Hoplandrena) (in part),A. (Hoplandrena) (in part),sec51-6-5
