id,description,parent
M. (Apomelissodes),M. (Apomelissodes),sec112-14-1
M. (Callimelissodes),M. (Callimelissodes),sec112-14-2
,,sec112-14-3
M. (Psilomelissodes),M. (Psilomelissodes),sec112-14-4
M. (T achymelissodes),M. (T achymelissodes),sec112-14-5
M. (Melissodes s. str.),M. (Melissodes s. str.),sec112-14-6
M. (Ecplectica),M. (Ecplectica),sec112-14-7
M. (Heliomelissodes),M. (Heliomelissodes),sec112-14-2
M. (Psilomelissodes),M. (Psilomelissodes),sec112-14-3
M. (T achymelissodes),M. (T achymelissodes),sec112-14-4
"M. (Callimelissodes, Ecplectica,  Eumelissodes, Melissodes s. str.)","M. (Callimelissodes, Ecplectica,  Eumelissodes, Melissodes s. str.)",sec112-14-4
