id,description,parent
Thygater,Thygater,sec112-2-1
Cemolobus,Cemolobus,sec112-2-2
Xenoglossa,Xenoglossa,sec112-2-3
Peponapis,Peponapis,sec112-2-4
Melissodes,Melissodes,sec112-2-6
Martinapis,Martinapis,sec112-2-6
T etraloniella (Pectinapis),T etraloniella (Pectinapis),sec112-2-8
Svastra (Anthedonia),Svastra (Anthedonia),sec112-2-9
T etraloniella (Loxoptilus),T etraloniella (Loxoptilus),sec112-2-1
Eucera (Synhalonia),Eucera (Synhalonia),sec112-2-1
Simanthedon,Simanthedon,sec112-2-1
Gaesischia (in part),Gaesischia (in part),sec112-2-1
T etraloniella(in part),T etraloniella(in part),sec112-2-1
Gaesischia (in part),Gaesischia (in part),sec112-2-1
Syntrichalonia,Syntrichalonia,sec112-2-1
,,sec112-2-1
Melissoptila,Melissoptila,sec112-2-1
Svastra,Svastra,sec112-2-1
Florilegus,Florilegus,sec112-2-1
T etraloniella(in part),T etraloniella(in part),sec112-2-1
