id,description,parent
M. (Leptorachis),M. (Leptorachis),sec84-6-2
M. (Pseudocentron),M. (Pseudocentron),sec84-6-3
M. (Moureapis),M. (Moureapis),sec84-6-4
M. (Acentron),M. (Acentron),sec84-6-5
M. (Melanosarus),M. (Melanosarus),sec84-6-5
,,sec84-6-6
M. (Chelostomoides),M. (Chelostomoides),sec84-6-7
M. (Grosapis),M. (Grosapis),sec84-6-7
M. (Schrottkyapis),M. (Schrottkyapis),sec84-6-8
M. (Gronoceras),M. (Gronoceras),sec84-6-1
M. (Callomegachile),M. (Callomegachile),sec84-6-1
M. (Neochelynia) (in part),M. (Neochelynia) (in part),sec84-6-1
M. (Tylomegachile),M. (Tylomegachile),sec84-6-1
M. (Rhyssomegachile),M. (Rhyssomegachile),sec84-6-1
M. (Zonomegachile),M. (Zonomegachile),sec84-6-1
M. (Ptilosaroides),M. (Ptilosaroides),sec84-6-1
M. (Chrysosarus) (in part),M. (Chrysosarus) (in part),sec84-6-1
M. (Dasymegachile),M. (Dasymegachile),sec84-6-1
M. (Trichurochile),M. (Trichurochile),sec84-6-2
M. (Cressoniella),M. (Cressoniella),sec84-6-2
M. (Ptilosarus),M. (Ptilosarus),sec84-6-2
M. (Neochelynia) (in part),M. (Neochelynia) (in part),sec84-6-2
M. (Austromegachile),M. (Austromegachile),sec84-6-2
M. (Stelodides),M. (Stelodides),sec84-6-2
M. (Sayapis),M. (Sayapis),sec84-6-2
M. (Argyropile) (in part),M. (Argyropile) (in part),sec84-6-2
M. (Xanthosarus) (in part),M. (Xanthosarus) (in part),sec84-6-2
M. (Megachiloides),M. (Megachiloides),sec84-6-2
M. (Xanthosarus) (in part),M. (Xanthosarus) (in part),sec84-6-3
M. (Argyropile) (in part),M. (Argyropile) (in part),sec84-6-3
M. (Chrysosarus) (in part),M. (Chrysosarus) (in part),sec84-6-3
M. (Xanthosarus) (in part),M. (Xanthosarus) (in part),sec84-6-3
M. (Megachile s. str.),M. (Megachile s. str.),sec84-6-3
M. (Eutricharaea),M. (Eutricharaea),sec84-6-3
M. (Litomegachile),M. (Litomegachile),sec84-6-3
