id,description,parent
C. (Megaceratina),C. (Megaceratina),sec89-1-1
C. (Pithitis),C. (Pithitis),sec89-1-3
C. (Protopithitis),C. (Protopithitis),sec89-1-3
C. (Chloroceratina),C. (Chloroceratina),sec89-1-5
C. (Catoceratina),C. (Catoceratina),sec89-1-6
C. (Lioceratina),C. (Lioceratina),sec89-1-7
C. (Xanthoceratina),C. (Xanthoceratina),sec89-1-7
C. (Simioceratina),C. (Simioceratina),sec89-1-9
C. (Ctenoceratina),C. (Ctenoceratina),sec89-1-9
C. (Ceratinidia),C. (Ceratinidia),sec89-1-1
C. (Ceratinula),C. (Ceratinula),sec89-1-1
C. (Ceratina s. str.),C. (Ceratina s. str.),sec89-1-1
C. (Neoceratina),C. (Neoceratina),sec89-1-1
C. (Euceratina),C. (Euceratina),sec89-1-1
C. (Malgatina),C. (Malgatina),sec89-1-1
C. (Copoceratina),C. (Copoceratina),sec89-1-1
C. (Hirashima),C. (Hirashima),sec89-1-1
