id,description,parent
C. (Boreocoelioxys) (in part),C. (Boreocoelioxys) (in part),sec84-3-2
C. (Xerocoelioxys),C. (Xerocoelioxys),sec84-3-3
C. (Coelioxys s. str.),C. (Coelioxys s. str.),sec84-3-3
C. (Synocoelioxys),C. (Synocoelioxys),sec84-3-5
C. (Neocoelioxys),C. (Neocoelioxys),sec84-3-5
C. (Acrocoelioxys),C. (Acrocoelioxys),sec84-3-6
C. (Boreocoelioxys) (in part),C. (Boreocoelioxys) (in part),sec84-3-8
C. (Glyptocoelioxys),C. (Glyptocoelioxys),sec84-3-8
C. (Haplocoelioxys),C. (Haplocoelioxys),sec84-3-9
C. (Cyrtocoelioxys),C. (Cyrtocoelioxys),sec84-3-1
C. (Platycoelioxys),C. (Platycoelioxys),sec84-3-1
C. (Rhinocoelioxys),C. (Rhinocoelioxys),sec84-3-1
