id,description,parent
Parapsaenythia,Parapsaenythia,sec53-1-2
Liphanthus (in part),Liphanthus (in part),sec53-1-3
Psaenythia,Psaenythia,sec53-1-4
Anthrenoides,Anthrenoides,sec53-1-5
Protandrena s. str.,Protandrena s. str.,sec53-1-5
Neffapis,Neffapis,sec53-1-6
Liphanthus (in part),Liphanthus (in part),sec53-1-7
Rhophitulus (Cephalurgus),Rhophitulus (Cephalurgus),sec53-1-8
Pseudopanurgus,Pseudopanurgus,sec53-1-9
Chaeturginus,Chaeturginus,sec53-1-1
Protandrena (in part),Protandrena (in part),sec53-1-1
Rhophitulus s. str.,Rhophitulus s. str.,sec53-1-1
Protandrena (Metapsaenythia),Protandrena (Metapsaenythia),sec53-1-1
Anthemurgus,Anthemurgus,sec53-1-1
