id,description,parent
M. (Creightonella),M. (Creightonella),sec84-7-1
M. (Parachalicodoma),M. (Parachalicodoma),sec84-7-3
M. (Chalicodoma),M. (Chalicodoma),sec84-7-4
M. (Largella),M. (Largella),sec84-7-5
M. (Maximegachile),M. (Maximegachile),sec84-7-6
M. (Pseudomegachile),M. (Pseudomegachile),sec84-7-7
M. (Callomegachile),M. (Callomegachile),sec84-7-7
M. (Chelostomoda),M. (Chelostomoda),sec84-7-9
M. (Eumegachile),M. (Eumegachile),sec84-7-9
M. (Megachile s. str.),M. (Megachile s. str.),sec84-7-1
M. (Megella),M. (Megella),sec84-7-1
M. (Xanthosarus),M. (Xanthosarus),sec84-7-1
M. (Eutricharaea),M. (Eutricharaea),sec84-7-1
M. (Neocressoniella),M. (Neocressoniella),sec84-7-1
M. (Paracella),M. (Paracella),sec84-7-1
