id,description,parent
X. (Ctenoxylocopa),X. (Ctenoxylocopa),sec88-4-5
X. (Xylomelissa) (in part),X. (Xylomelissa) (in part),sec88-4-5
X. (Biluna),X. (Biluna),sec88-4-6
X. (Xylomelissa) (in part),X. (Xylomelissa) (in part),sec88-4-8
X. (Xylomelissa) (in part),X. (Xylomelissa) (in part),sec88-4-9
X. (Rhysoxylocopa),X. (Rhysoxylocopa),sec88-4-9
X. (Nodula),X. (Nodula),sec88-4-1
X. (Maaiana),X. (Maaiana),sec88-4-1
X. (Nyctomelitta),X. (Nyctomelitta),sec88-4-1
X. (Gnathoxylocopa),X. (Gnathoxylocopa),sec88-4-1
X. (Xylomelissa) (in part),X. (Xylomelissa) (in part),sec88-4-1
X. (Xylocopa s. str.),X. (Xylocopa s. str.),sec88-4-1
X. (Xenoxylocopa),X. (Xenoxylocopa),sec88-4-1
X. (Prosopoxylocopa),X. (Prosopoxylocopa),sec88-4-1
X. (Zonohirsuta),X. (Zonohirsuta),sec88-4-1
X. (Proxylocopa),X. (Proxylocopa),sec88-4-1
X. (Lestis),X. (Lestis),sec88-4-1
X. (Bomboixylocopa) (in part),X. (Bomboixylocopa) (in part),sec88-4-2
X. (Copoxyla),X. (Copoxyla),sec88-4-2
X. (Koptortosoma),X. (Koptortosoma),sec88-4-2
X. (Alloxylocopa),X. (Alloxylocopa),sec88-4-2
X. (Mesotrichia),X. (Mesotrichia),sec88-4-2
