id,description,parent
Ariphanarthra,Ariphanarthra,sec67-2-2
Megaloptidia,Megaloptidia,sec67-2-3
Chlerogelloides,Chlerogelloides,sec67-2-4
Chlerogella (in part),Chlerogella (in part),sec67-2-7
Chlerogas,Chlerogas,sec67-2-7
Augochloropsis,Augochloropsis,sec67-2-8
Megalopta,Megalopta,sec67-2-1
Thectochlora (in part),Thectochlora (in part),sec67-2-1
Paroxystoglossa,Paroxystoglossa,sec67-2-1
T emnosoma,T emnosoma,sec67-2-1
Rhinocorynura,Rhinocorynura,sec67-2-1
Thectochlora (in part),Thectochlora (in part),sec67-2-1
,,sec67-2-1
Chlerogella (Ischnomelissa) (in part),Chlerogella (Ischnomelissa) (in part),sec67-2-1
Halictillus,Halictillus,sec67-2-1
Corynura,Corynura,sec67-2-1
Megaloptilla,Megaloptilla,sec67-2-2
Rhectomia,Rhectomia,sec67-2-2
Augochlorodes,Augochlorodes,sec67-2-2
Andinaugochlora (Neocorynurella),Andinaugochlora (Neocorynurella),sec67-2-2
Augochlorella (Ceratalictus),Augochlorella (Ceratalictus),sec67-2-2
Paroxystoglossa,Paroxystoglossa,sec67-2-2
Neocorynura,Neocorynura,sec67-2-2
Andinaugochlora (Andinaugochlora),Andinaugochlora (Andinaugochlora),sec67-2-2
Augochlora,Augochlora,sec67-2-2
Augochlorella,Augochlorella,sec67-2-2
Pseudaugochlora,Pseudaugochlora,sec67-2-2
Caenaugochlora,Caenaugochlora,sec67-2-2
