id,description,parent
sec120-1,"Apinae, Meliponini",sec85-1-1
sec121-1,"Apinae, Apini",sec85-1-3
sec118-1,"Apinae, Euglossini",sec85-1-4
sec119-1,"Apinae, Bombini",sec85-1-4
sec88-1,"Xylocopinae, Xylocopini",sec85-1-5
sec90-1,"Xylocopinae, Allodapini",sec85-1-7
sec87-1,"Xylocopinae,  Manueliini",sec85-1-8
sec89-1,"Xylocopinae, Ceratinini",sec85-1-8
sec117-1,"Apinae, Melectini (in part)",sec85-1-1
sec109-1,"Apinae, T etrapediini, Coelioxoides",sec85-1-1
sec101-1,"Nomadinae, Caenoprosopidini",sec85-1-1
sec96-1,"Nomadinae, Ammobatoidini (in part)",sec85-1-1
sec100-1,"Nomadinae, Ammobatini",sec85-1-1
sec96-1,"Nomadinae, Ammobatoidini, Ammobatoides",sec85-1-1
sec99-1,"Nomadinae, Neolarrini",sec85-1-1
sec115-1,"Apinae, Rhathymini (part)",sec85-1-1
sec116-1,"Apinae, Ericrocidini",sec85-1-1
sec117-1,"Apinae, Melectini (in part)",sec85-1-1
sec115-1,"Apinae, Rhathymini (part)",sec85-1-2
sec97-1,"Nomadinae, Biastini",sec85-1-2
sec98-1,"Nomadinae, T ownsendiellini",sec85-1-2
sec95-1,"Nomadinae, Epeolini",sec85-1-2
sec104-1,"Apinae, Osirini (in part)",sec85-1-2
sec93-1,"Nomadinae, Brachynomadini",sec85-1-2
sec94-1,"Nomadinae, Nomadini",sec85-1-2
sec92-1,"Nomadinae, Hexepeolini",sec85-1-2
sec110-1,"Apinae, Ctenoplectrini",sec85-1-2
sec112-1,"Apinae, Eucerini",sec85-1-3
sec113-1,"Apinae, Anthophorini",sec85-1-3
sec114-1,"Apinae, Centridini",sec85-1-3
sec111-1,"Apinae, Emphorini (in part)",sec85-1-3
sec111-1,"35 35(34). Clypeus strongly protuberant, in side view pro- truding in front of eye by about width of eye; vertex gen- tly convex as seen from front; hind leg of male (femur to basitarsus) enlarged (Fig. 111-2c) (Western Hemisphere) ...................... Apinae, Emphorini (Ancyloscelis)",sec85-1-3
sec107-1,"Apinae, Ancylini",sec85-1-3
sec108-1,"Apinae, Tapinotaspidini (in part)",sec85-1-3
sec106-1,"Apinae, Exomalopsini",sec85-1-3
sec104-1,"Apinae, Osirini, Epeoloides",sec85-1-3
sec103-1,"Apinae, Isepeolini",sec85-1-3
sec105-1,"Apinae, Protepeolini",sec85-1-3
