id,description,parent
L. (Nomiocolletes),L. (Nomiocolletes),sec39-4-1
L. (Halictanthrena),L. (Halictanthrena),sec39-4-3
L. (Reedapis),L. (Reedapis),sec39-4-5
L. (Cephalocolletes),L. (Cephalocolletes),sec39-4-5
L. (T orocolletes),L. (T orocolletes),sec39-4-6
L. (Holmbergeria),L. (Holmbergeria),sec39-4-8
L. (Leioproctus s. str.),L. (Leioproctus s. str.),sec39-4-9
L. (Chilicolletes),L. (Chilicolletes),sec39-4-1
L. (Sarocolletes) (in part),L. (Sarocolletes) (in part),sec39-4-1
L. (Actenosigynes),L. (Actenosigynes),sec39-4-1
L. (Chilicolletes),L. (Chilicolletes),sec39-4-1
L. (Sarocolletes) (in part),L. (Sarocolletes) (in part),sec39-4-1
L. (Hoplocolletes),L. (Hoplocolletes),sec39-4-1
L. (Protodiscelis),L. (Protodiscelis),sec39-4-1
L. (T etraglossula),L. (T etraglossula),sec39-4-1
L. (Glossopasiphae),L. (Glossopasiphae),sec39-4-1
L. (Pygopasiphae),L. (Pygopasiphae),sec39-4-1
L. (Sarocolletes) (in part),L. (Sarocolletes) (in part),sec39-4-2
L. (Perditomorpha)(in part),L. (Perditomorpha)(in part),sec39-4-2
L. (Kylopasiphae),L. (Kylopasiphae),sec39-4-2
L. (Spinolapis),L. (Spinolapis),sec39-4-2
L. (Perditomorpha)(in part),L. (Perditomorpha)(in part),sec39-4-2
L. (Kylopasiphae),L. (Kylopasiphae),sec39-4-2
L. (Spinolapis),L. (Spinolapis),sec39-4-2
L. (Sarocolletes) (in part),L. (Sarocolletes) (in part),sec39-4-2
L. (Perditomorpha),L. (Perditomorpha),sec39-4-2
L. (Albinapis),L. (Albinapis),sec39-4-2
L. (Baeocolletes),L. (Baeocolletes),sec39-4-2
L. (Andrenopsis),L. (Andrenopsis),sec39-4-3
L. (Colletellus),L. (Colletellus),sec39-4-4
L. (Filiglossa),L. (Filiglossa),sec39-4-5
L. (Euryglossidia),L. (Euryglossidia),sec39-4-5
L. (Urocolletes),L. (Urocolletes),sec39-4-6
L. (Excolletes),L. (Excolletes),sec39-4-7
L. (Cladocerapis),L. (Cladocerapis),sec39-4-8
L. (Colletopsis),L. (Colletopsis),sec39-4-9
L. (Nesocolletes),L. (Nesocolletes),sec39-4-1
,,sec39-4-1
L. (Lamprocolletes),L. (Lamprocolletes),sec39-4-2
L. (Ceratocolletes),L. (Ceratocolletes),sec39-4-2
L. (Goniocolletes) (in part),L. (Goniocolletes) (in part),sec39-4-2
L. (Leioproctuss. str.),L. (Leioproctuss. str.),sec39-4-2
