id,description,parent
H. (Abrupta),H. (Abrupta),sec47-7-2
H. (Mehelyana),H. (Mehelyana),sec47-7-3
H. (Dentigera) (brevicornis group),H. (Dentigera) (brevicornis group),sec47-7-4
H. (Lambdopsis) (in part),H. (Lambdopsis) (in part),sec47-7-4
H. (Dentigera) (brachycephalus group  and Hylaeus rubicola Saunders),H. (Dentigera) (brachycephalus group  and Hylaeus rubicola Saunders),sec47-7-5
H. (Spatulariella),H. (Spatulariella),sec47-7-6
H. (Koptogaster),H. (Koptogaster),sec47-7-7
H. (Paraprosopis),H. (Paraprosopis),sec47-7-8
H. (Prosopis),H. (Prosopis),sec47-7-1
H. (Hylaeus s. str.),H. (Hylaeus s. str.),sec47-7-1
"H. (Lambdopsis) (in part, East Asian species)","H. (Lambdopsis) (in part, East Asian species)",sec47-7-1
