id,description,parent
M. (Creightonella),M. (Creightonella),sec84-11-1
M. (Austrochile),M. (Austrochile),sec84-11-3
M. (Schizomegachile),M. (Schizomegachile),sec84-11-4
M. (Rhodomegachile),M. (Rhodomegachile),sec84-11-5
M. (Thaumatosoma),M. (Thaumatosoma),sec84-11-6
M. (Hackeriapis),M. (Hackeriapis),sec84-11-7
M. (Chalicodomoides),M. (Chalicodomoides),sec84-11-8
M. (Callomegachile),M. (Callomegachile),sec84-11-8
M. (Mitchellapis),M. (Mitchellapis),sec84-11-1
M. (Chelostomoda),M. (Chelostomoda),sec84-11-1
M. (Amegachile),M. (Amegachile),sec84-11-1
M. (Austrochile),M. (Austrochile),sec84-11-3
M. (Schizomegachile),M. (Schizomegachile),sec84-11-4
M. (Mitchellapis),M. (Mitchellapis),sec84-11-5
M. (Rhodomegachile),M. (Rhodomegachile),sec84-11-7
M. (Chalicodomoides),M. (Chalicodomoides),sec84-11-8
M. (Chelostomoda),M. (Chelostomoda),sec84-11-9
M. (Hackeriapis) (in part),M. (Hackeriapis) (in part),sec84-11-9
M. (Thaumatosoma),M. (Thaumatosoma),sec84-11-1
M. (Callomegachile),M. (Callomegachile),sec84-11-1
M. (Hackeriapis) (in part),M. (Hackeriapis) (in part),sec84-11-1
M. (Amegachile),M. (Amegachile),sec84-11-1
M. (Eutricharaea),M. (Eutricharaea),sec84-11-1
