id,description,parent
H. (Annosmia),H. (Annosmia),sec81-9-4
H. (Coloplitis),H. (Coloplitis),sec81-9-4
H. (Eurypariella),H. (Eurypariella),sec81-9-5
H. (Hoplitis s. str.),H. (Hoplitis s. str.),sec81-9-6
H. (Bytinskia),H. (Bytinskia),sec81-9-7
H. (Kumobia),H. (Kumobia),sec81-9-7
H. (Kumobia),H. (Kumobia),sec81-9-9
H. (Bytinskia),H. (Bytinskia),sec81-9-9
H. (Hoplitis s. str.),H. (Hoplitis s. str.),sec81-9-1
H. (Coloplitis),H. (Coloplitis),sec81-9-1
H. (Annosmia),H. (Annosmia),sec81-9-1
H. (Eurypariella),H. (Eurypariella),sec81-9-1
H. (Megahoplitis),H. (Megahoplitis),sec81-9-1
H. (Formicapis),H. (Formicapis),sec81-9-1
H. (Anthocopa),H. (Anthocopa),sec81-9-1
H. (Platosmia),H. (Platosmia),sec81-9-1
H. (Chlidoplitis),H. (Chlidoplitis),sec81-9-1
H. (Jaxartinula),H. (Jaxartinula),sec81-9-2
H. (Exanthocopa),H. (Exanthocopa),sec81-9-2
H. (Nasutosmia),H. (Nasutosmia),sec81-9-2
H. (Microhoplitis),H. (Microhoplitis),sec81-9-2
H. (Prionohoplitis),H. (Prionohoplitis),sec81-9-2
H. (Megalosmia),H. (Megalosmia),sec81-9-2
H. (Monumetha),H. (Monumetha),sec81-9-2
H. (Alcidamea),H. (Alcidamea),sec81-9-2
H. (Prionohoplitis),H. (Prionohoplitis),sec81-9-2
H. (Microhoplitis),H. (Microhoplitis),sec81-9-2
H. (Chlidoplitis),H. (Chlidoplitis),sec81-9-3
H. (Anthocopa),H. (Anthocopa),sec81-9-3
H. (Nasutosmia),H. (Nasutosmia),sec81-9-3
H. (Formicapis),H. (Formicapis),sec81-9-3
H. (Jaxartinula),H. (Jaxartinula),sec81-9-3
H. (Megalosmia) (in part),H. (Megalosmia) (in part),sec81-9-3
H. (Monumetha),H. (Monumetha),sec81-9-3
H. (Pentadentosmia),H. (Pentadentosmia),sec81-9-3
H. (Megalosmia) (in part),H. (Megalosmia) (in part),sec81-9-3
H. (Megahoplitis),H. (Megahoplitis),sec81-9-3
H. (Platosmia),H. (Platosmia),sec81-9-3
H. (Alcidamea),H. (Alcidamea),sec81-9-3
