id,description,parent
Ariphanarthra,Ariphanarthra,sec67-1-2
Megaloptidia,Megaloptidia,sec67-1-3
Chlerogelloides,Chlerogelloides,sec67-1-4
Megommation,Megommation,sec67-1-5
Micrommation,Micrommation,sec67-1-5
T emnosoma,T emnosoma,sec67-1-7
,,sec67-1-8
Augochlora,Augochlora,sec67-1-9
Augochlorella,Augochlorella,sec67-1-9
Corynura (Corynura),Corynura (Corynura),sec67-1-1
"Paroxystoglossa —. Preoccipital ridge rounded; mesoscutum very slightly narrowed anteriorly, lip low and rounded; labral basal el- evation transverse ..........................................Megaloptilla","Paroxystoglossa —. Preoccipital ridge rounded; mesoscutum very slightly narrowed anteriorly, lip low and rounded; labral basal el- evation transverse ..........................................Megaloptilla",sec67-1-1
,,sec67-1-1
Caenaugochlora (Ctenaugochlora),Caenaugochlora (Ctenaugochlora),sec67-1-1
Chlerogella (Ischnomelissa),Chlerogella (Ischnomelissa),sec67-1-1
Chlerogella (Chlerogella),Chlerogella (Chlerogella),sec67-1-1
Chlerogas,Chlerogas,sec67-1-1
Megalopta,Megalopta,sec67-1-1
Xenochlora,Xenochlora,sec67-1-1
Augochloropsis,Augochloropsis,sec67-1-1
Rhinocorynura,Rhinocorynura,sec67-1-2
Thectochlora,Thectochlora,sec67-1-2
Rhectomia,Rhectomia,sec67-1-2
Andinaugochlora (Andinaugochlora),Andinaugochlora (Andinaugochlora),sec67-1-2
Neocorynura,Neocorynura,sec67-1-2
,,sec67-1-2
Corynura (Callistochlora),Corynura (Callistochlora),sec67-1-2
Augochlorodes,Augochlorodes,sec67-1-2
Pseudaugochlora,Pseudaugochlora,sec67-1-2
Caenaugochlora (Caenaugochlora),Caenaugochlora (Caenaugochlora),sec67-1-2
