id,description,parent
O. (Metallinella),O. (Metallinella),sec81-15-1
O. (Osmia s. str.),O. (Osmia s. str.),sec81-15-2
O. (Helicosmia),O. (Helicosmia),sec81-15-3
O. (Monosmia),O. (Monosmia),sec81-15-5
O. (Orientosmia),O. (Orientosmia),sec81-15-5
O. (Allosmia),O. (Allosmia),sec81-15-7
O. (Erythrosmia),O. (Erythrosmia),sec81-15-7
O. (Neosmia),O. (Neosmia),sec81-15-8
O. (Hemiosmia),O. (Hemiosmia),sec81-15-9
O. (Pyrosmia),O. (Pyrosmia),sec81-15-1
O. (Melanosmia),O. (Melanosmia),sec81-15-1
O. (Ozbekosmia),O. (Ozbekosmia),sec81-15-1
O. (T ergosmia),O. (T ergosmia),sec81-15-1
