id,description,parent
O. (Metallinella),O. (Metallinella),sec81-16-1
O. (Osmia s. str.),O. (Osmia s. str.),sec81-16-2
O. (Helicosmia),O. (Helicosmia),sec81-16-3
O. (Monosmia),O. (Monosmia),sec81-16-5
O. (Orientosmia),O. (Orientosmia),sec81-16-5
O. (Allosmia),O. (Allosmia),sec81-16-7
O. (Erythrosmia),O. (Erythrosmia),sec81-16-7
O. (Neosmia),O. (Neosmia),sec81-16-8
O. (Hemiosmia),O. (Hemiosmia),sec81-16-9
O. (Pyrosmia),O. (Pyrosmia),sec81-16-1
O. (Melanosmia),O. (Melanosmia),sec81-16-1
O. (Ozbekosmia),O. (Ozbekosmia),sec81-16-1
O. (Osmia s. str.),O. (Osmia s. str.),sec81-16-2
,,sec81-16-5
O.(Mystacosmia),O.(Mystacosmia),sec81-16-6
,,sec81-16-6
