id,description,parent
O. (Osmia s. str.),O. (Osmia s. str.),sec81-14-2
O. (Monosmia),O. (Monosmia),sec81-14-3
O. (Orientosmia),O. (Orientosmia),sec81-14-3
O. (Ozbekosmia),O. (Ozbekosmia),sec81-14-5
O. (Helicosmia),O. (Helicosmia),sec81-14-6
O. (Pyrosmia),O. (Pyrosmia),sec81-14-6
O. (Hemiosmia),O. (Hemiosmia),sec81-14-8
O. (Neosmia),O. (Neosmia),sec81-14-9
O. (T ergosmia),O. (T ergosmia),sec81-14-9
O. (Allosmia),O. (Allosmia),sec81-14-1
O. (Erythrosmia),O. (Erythrosmia),sec81-14-1
O. (Metallinella),O. (Metallinella),sec81-14-1
O. (Melanosmia),O. (Melanosmia),sec81-14-1
