id,description,parent
A. (Anthophora s. str.),A. (Anthophora s. str.),sec113-2-3
A. (Caranthophora),A. (Caranthophora),sec113-2-3
A. (Lophanthophora),A. (Lophanthophora),sec113-2-4
A. (Pyganthophora) (in part),A. (Pyganthophora) (in part),sec113-2-4
A. (Clisodon),A. (Clisodon),sec113-2-5
A. (Anthophoroides),A. (Anthophoroides),sec113-2-7
A. (Melea),A. (Melea),sec113-2-7
A. (Anthomegilla),A. (Anthomegilla),sec113-2-9
A. (Rhinomegilla),A. (Rhinomegilla),sec113-2-9
A. (Heliophila),A. (Heliophila),sec113-2-1
A. (Pyganthophora) (in part),A. (Pyganthophora) (in part),sec113-2-1
A. (Paramegilla)(in part),A. (Paramegilla)(in part),sec113-2-1
A. (Petalosternon),A. (Petalosternon),sec113-2-1
A. (Mystacanthophora),A. (Mystacanthophora),sec113-2-1
A. (Paramegilla)(in part),A. (Paramegilla)(in part),sec113-2-1
A. (Dasymegilla),A. (Dasymegilla),sec113-2-1
