id,description,parent
X. (Proxylocopa),X. (Proxylocopa),sec88-3-2
X. (Lestis),X. (Lestis),sec88-3-2
X. (Ctenoxylocopa),X. (Ctenoxylocopa),sec88-3-6
X. (Nyctomelitta),X. (Nyctomelitta),sec88-3-6
X. (Prosopoxylocopa),X. (Prosopoxylocopa),sec88-3-9
X. (Bomboixylocopa) (in part),X. (Bomboixylocopa) (in part),sec88-3-9
X. (Alloxylocopa),X. (Alloxylocopa),sec88-3-1
,,sec88-3-1
X. (Koptortosoma)(in part),X. (Koptortosoma)(in part),sec88-3-2
X. (Mesotrichia) (in part),X. (Mesotrichia) (in part),sec88-3-2
X. (Xenoxylocopa),X. (Xenoxylocopa),sec88-3-2
