id,description,parent
Thygater,Thygater,sec112-3-1
Cemolobus,Cemolobus,sec112-3-2
Melissoptila,Melissoptila,sec112-3-4
Florilegus,Florilegus,sec112-3-5
Melissodes,Melissodes,sec112-3-6
Peponapis (in part),Peponapis (in part),sec112-3-6
Xenoglossa,Xenoglossa,sec112-3-7
Simanthedon,Simanthedon,sec112-3-8
Martinapis,Martinapis,sec112-3-1
Agapanthinus,Agapanthinus,sec112-3-1
Gaesischia,Gaesischia,sec112-3-1
T etraloniella(in part),T etraloniella(in part),sec112-3-1
Syntrichalonia,Syntrichalonia,sec112-3-1
Svastra (Anthedonia),Svastra (Anthedonia),sec112-3-1
Svastra,Svastra,sec112-3-1
T etraloniella (Loxoptilus),T etraloniella (Loxoptilus),sec112-3-1
T etraloniella(in part),T etraloniella(in part),sec112-3-1
Peponapis (in part),Peponapis (in part),sec112-3-1
Eucera (Synhalonia),Eucera (Synhalonia),sec112-3-1
T etraloniella (Pectinapis),T etraloniella (Pectinapis),sec112-3-1
