id,description,parent
H. (Penteriades),H. (Penteriades),sec81-11-2
H. (Proteriades),H. (Proteriades),sec81-11-2
H. (Robertsonella),H. (Robertsonella),sec81-11-4
H. (Formicapis),H. (Formicapis),sec81-11-4
H. (Monumetha),H. (Monumetha),sec81-11-5
H. (Cyrtosmia),H. (Cyrtosmia),sec81-11-6
H. (Acrosmia),H. (Acrosmia),sec81-11-7
H. (Hoplitina),H. (Hoplitina),sec81-11-8
H. (Dasyosmia),H. (Dasyosmia),sec81-11-9
H. (Hoplitis s. str.),H. (Hoplitis s. str.),sec81-11-1
H. (Alcidamea),H. (Alcidamea),sec81-11-1
