id,description,parent
A. (Plastandrena),A. (Plastandrena),sec51-3-2
A. (Aporandrena),A. (Aporandrena),sec51-3-3
A. (Charitandrena),A. (Charitandrena),sec51-3-3
A. (Euandrena)(in part),A. (Euandrena)(in part),sec51-3-4
A. (Leucandrena) (in part),A. (Leucandrena) (in part),sec51-3-5
A. (Oligandrena),A. (Oligandrena),sec51-3-6
A. (Callandrena) (in part),A. (Callandrena) (in part),sec51-3-8
A. (Iomelissa),A. (Iomelissa),sec51-3-9
A. (Erandrena),A. (Erandrena),sec51-3-9
A. (Scrapteropsis),A. (Scrapteropsis),sec51-3-1
A. (Trachandrena),A. (Trachandrena),sec51-3-1
A. (Tylandrena),A. (Tylandrena),sec51-3-1
A. (Diandrena) (in part),A. (Diandrena) (in part),sec51-3-1
A. (Parandrena),A. (Parandrena),sec51-3-1
A. (Hesperandrena)(in part),A. (Hesperandrena)(in part),sec51-3-1
A. (Celetandrena),A. (Celetandrena),sec51-3-1
A. (Ptilandrena) (in part),A. (Ptilandrena) (in part),sec51-3-1
A. (Archiandrena)(in part),A. (Archiandrena)(in part),sec51-3-2
A. (Ptilandrena) (in part),A. (Ptilandrena) (in part),sec51-3-2
A. (Belandrena) (in part),A. (Belandrena) (in part),sec51-3-2
A. (Scoliandrena),A. (Scoliandrena),sec51-3-2
A. (Derandrena)(in part),A. (Derandrena)(in part),sec51-3-2
A. (Oxyandrena),A. (Oxyandrena),sec51-3-2
A. (Geissandrena),A. (Geissandrena),sec51-3-2
A. (Dactylandrena) (in part),A. (Dactylandrena) (in part),sec51-3-2
A. (Conandrena),A. (Conandrena),sec51-3-2
A. (Cnemidandrena),A. (Cnemidandrena),sec51-3-2
A. (Larandrena),A. (Larandrena),sec51-3-2
A. (Xiphandrena),A. (Xiphandrena),sec51-3-3
A. (Rhaphandrena),A. (Rhaphandrena),sec51-3-3
A. (Nemandrena)(in part),A. (Nemandrena)(in part),sec51-3-3
A. (Gonandrena),A. (Gonandrena),sec51-3-3
A. (Leucandrena) (in part),A. (Leucandrena) (in part),sec51-3-3
A. (Onagrandrena)(in part),A. (Onagrandrena)(in part),sec51-3-3
A. (Dactylandrena) (in part),A. (Dactylandrena) (in part),sec51-3-3
A. (Andrena s. str.)(in part),A. (Andrena s. str.)(in part),sec51-3-3
A. (Andrena s. str.)(in part),A. (Andrena s. str.)(in part),sec51-3-3
A. (Notandrena),A. (Notandrena),sec51-3-3
A. (Anchandrena),A. (Anchandrena),sec51-3-4
,,sec51-3-4
A. (Belandrena) (in part),A. (Belandrena) (in part),sec51-3-4
A. (Andrena s. str.)(in part),A. (Andrena s. str.)(in part),sec51-3-4
A. (Holandrena),A. (Holandrena),sec51-3-4
A. (Diandrena) (in part),A. (Diandrena) (in part),sec51-3-4
A. (Pelicandrena),A. (Pelicandrena),sec51-3-4
A. (Nemandrena)(in part),A. (Nemandrena)(in part),sec51-3-4
A. (Dasyandrena),A. (Dasyandrena),sec51-3-4
A. (Hesperandrena)(in part),A. (Hesperandrena)(in part),sec51-3-4
A. (Augandrena),A. (Augandrena),sec51-3-5
A. (Rhacandrena) (in part),A. (Rhacandrena) (in part),sec51-3-5
A. (Callandrena) (in part),A. (Callandrena) (in part),sec51-3-5
A. (Simandrena) (in part),A. (Simandrena) (in part),sec51-3-5
A. (Genyandrena)(in part),A. (Genyandrena)(in part),sec51-3-5
A. (Euandrena)(in part),A. (Euandrena)(in part),sec51-3-5
A. (Cremnandrena),A. (Cremnandrena),sec51-3-5
A. (Derandrena)(in part),A. (Derandrena)(in part),sec51-3-5
A. (Micrandrena),A. (Micrandrena),sec51-3-5
A. (Genyandrena)(in part),A. (Genyandrena)(in part),sec51-3-6
,,sec51-3-6
A. (Scaphandrena) (in part),A. (Scaphandrena) (in part),sec51-3-6
A. (Simandrena) (in part),A. (Simandrena) (in part),sec51-3-6
A. (Scaphandrena) (in part),A. (Scaphandrena) (in part),sec51-3-6
A. (Onagrandrena)(in part),A. (Onagrandrena)(in part),sec51-3-6
A. (Belandrena) (in part),A. (Belandrena) (in part),sec51-3-6
A. (Rhacandrena) (in part),A. (Rhacandrena) (in part),sec51-3-6
A. (Euandrena)(in part),A. (Euandrena)(in part),sec51-3-6
,,sec51-3-6
A. (Rhacandrena) (in part),A. (Rhacandrena) (in part),sec51-3-7
A. (Psammandrena),A. (Psammandrena),sec51-3-7
A. (Euandrena)(in part),A. (Euandrena)(in part),sec51-3-7
A. (Thysandrena),A. (Thysandrena),sec51-3-7
A. (Scaphandrena) (in part),A. (Scaphandrena) (in part),sec51-3-7
A. (Melandrena),A. (Melandrena),sec51-3-7
