id,description,parent
P . (Xerophasma),P . (Xerophasma),sec58-3-1
P . (Pseudomacrotera),P . (Pseudomacrotera),sec58-3-3
P . (Heteroperdita),P . (Heteroperdita),sec58-3-4
P . (Glossoperdita),P . (Glossoperdita),sec58-3-5
P . (Hesperoperdita),P . (Hesperoperdita),sec58-3-6
P . (Epimacrotera),P . (Epimacrotera),sec58-3-6
P . (Allomacrotera),P . (Allomacrotera),sec58-3-9
P . (Cockerellia),P . (Cockerellia),sec58-3-1
P . (Procockerellia),P . (Procockerellia),sec58-3-1
P . (Pentaperdita),P . (Pentaperdita),sec58-3-1
P . (Xeromacrotera),P . (Xeromacrotera),sec58-3-1
P . (Callomacrotera),P . (Callomacrotera),sec58-3-1
P . (Hexaperdita),P . (Hexaperdita),sec58-3-1
P . (Perditella),P . (Perditella),sec58-3-1
P . (Alloperdita),P . (Alloperdita),sec58-3-1
P . (Pygoperdita),P . (Pygoperdita),sec58-3-1
P . (Perdita s. str.),P . (Perdita s. str.),sec58-3-1
