id,description,parent
H. (Analastoroides),H. (Analastoroides),sec47-3-4
H. (Euprosopellus),H. (Euprosopellus),sec47-3-4
H. (Xenohylaeus),H. (Xenohylaeus),sec47-3-5
H. (Euprosopis),H. (Euprosopis),sec47-3-7
H. (Euprosopoides),H. (Euprosopoides),sec47-3-8
H. (Laccohylaeus),H. (Laccohylaeus),sec47-3-8
H. (Hylaeorhiza),H. (Hylaeorhiza),sec47-3-9
H. (Prosopisteroides),H. (Prosopisteroides),sec47-3-1
H. (Sphaerhylaeus),H. (Sphaerhylaeus),sec47-3-1
H. (Gnathoprosopis),H. (Gnathoprosopis),sec47-3-1
H. (Gnathoprosopoides),H. (Gnathoprosopoides),sec47-3-1
H. (Meghylaeus),H. (Meghylaeus),sec47-3-1
H. (Macrohylaeus),H. (Macrohylaeus),sec47-3-1
H. (Rhodohylaeus),H. (Rhodohylaeus),sec47-3-1
H. (Pseudhylaeus),H. (Pseudhylaeus),sec47-3-1
H. (Hylaeteron),H. (Hylaeteron),sec47-3-1
H. (Planihylaeus),H. (Planihylaeus),sec47-3-1
H. (Edriohylaeus),H. (Edriohylaeus),sec47-3-2
H. (Prosopisteron),H. (Prosopisteron),sec47-3-2
