id,description,parent
Lasioglossum (Dialictus) (in part),Lasioglossum (Dialictus) (in part),sec66-1-2
Ptilocleptis,Ptilocleptis,sec66-1-3
Microsphecodes,Microsphecodes,sec66-1-4
Lasioglossum (in part),Lasioglossum (in part),sec66-1-5
Halictus,Halictus,sec66-1-7
Pseudagapostemon,Pseudagapostemon,sec66-1-7
Agapostemon,Agapostemon,sec66-1-8
,,sec66-1-9
Ruizantheda,Ruizantheda,sec66-1-1
Dinagapostemon (in part),Dinagapostemon (in part),sec66-1-1
Mexalictus,Mexalictus,sec66-1-1
Rhinetula,Rhinetula,sec66-1-1
Habralictus,Habralictus,sec66-1-1
Caenohalictus,Caenohalictus,sec66-1-1
Paragapostemon,Paragapostemon,sec66-1-1
Dinagapostemon (in part),Dinagapostemon (in part),sec66-1-1
