id,description,parent
L. (Austrevylaeus),L. (Austrevylaeus),sec66-11-1
L. (Pseudochilalictus),L. (Pseudochilalictus),sec66-11-5
L. (Parasphecodes),L. (Parasphecodes),sec66-11-5
L. (Callalictus),L. (Callalictus),sec66-11-6
L. (Ctenonomia),L. (Ctenonomia),sec66-11-6
L. (Glossalictus),L. (Glossalictus),sec66-11-7
L. (Chilalictus),L. (Chilalictus),sec66-11-8
L. (Australictus),L. (Australictus),sec66-11-8
L. (Glossalictus),L. (Glossalictus),sec66-11-1
"L. (Ctenonomia) (in part) —. Gonostylus more than half as long as gonocoxite (except in L. idoneum Cockerell), in some cases as long as gono- coxite ........................................................L. (Chilalictus)","L. (Ctenonomia) (in part) —. Gonostylus more than half as long as gonocoxite (except in L. idoneum Cockerell), in some cases as long as gono- coxite ........................................................L. (Chilalictus)",sec66-11-1
L. (Australictus),L. (Australictus),sec66-11-1
L. (Callalictus),L. (Callalictus),sec66-11-1
L. (Parasphecodes),L. (Parasphecodes),sec66-11-1
