id,description,parent
M. (Creightonella),M. (Creightonella),sec84-8-1
M. (Chelostomoda),M. (Chelostomoda),sec84-8-3
M. (Parachalicodoma),M. (Parachalicodoma),sec84-8-5
M. (Pseudomegachile)(in part),M. (Pseudomegachile)(in part),sec84-8-6
M. (Chalicodoma),M. (Chalicodoma),sec84-8-7
M. (Pseudomegachile) (in part),M. (Pseudomegachile) (in part),sec84-8-7
M. (Maximegachile),M. (Maximegachile),sec84-8-9
M. (Largella),M. (Largella),sec84-8-1
M. (Pseudomegachile) (in part),M. (Pseudomegachile) (in part),sec84-8-1
M. (Eumegachile) (in part),M. (Eumegachile) (in part),sec84-8-1
M. (Callomegachile),M. (Callomegachile),sec84-8-1
M. (Eumegachile) (in part),M. (Eumegachile) (in part),sec84-8-1
M. (Chelostomoda),M. (Chelostomoda),sec84-8-3
M. (Parachalicodoma),M. (Parachalicodoma),sec84-8-5
M. (Pseudomegachile)(in part),M. (Pseudomegachile)(in part),sec84-8-6
M. (Chalicodoma),M. (Chalicodoma),sec84-8-7
M. (Pseudomegachile) (in part),M. (Pseudomegachile) (in part),sec84-8-7
M. (Maximegachile),M. (Maximegachile),sec84-8-9
M. (Largella),M. (Largella),sec84-8-1
M. (Pseudomegachile) (in part),M. (Pseudomegachile) (in part),sec84-8-1
M. (Eumegachile) (in part),M. (Eumegachile) (in part),sec84-8-1
M. (Callomegachile),M. (Callomegachile),sec84-8-1
M. (Eumegachile) (in part),M. (Eumegachile) (in part),sec84-8-1
M. (Gronoceras),M. (Gronoceras),sec84-8-3
M. (Heriadopsis),M. (Heriadopsis),sec84-8-4
M. (Chalicodoma),M. (Chalicodoma),sec84-8-5
M. (Largella),M. (Largella),sec84-8-6
M. (Maximegachile),M. (Maximegachile),sec84-8-8
M. (Stenomegachile),M. (Stenomegachile),sec84-8-8
M. (Cuspidella),M. (Cuspidella),sec84-8-1
M. (Pseudomegachile),M. (Pseudomegachile),sec84-8-1
M. (Cestella),M. (Cestella),sec84-8-1
M. (Callomegachile),M. (Callomegachile),sec84-8-1
M. (Platysta),M. (Platysta),sec84-8-1
M. (Megella),M. (Megella),sec84-8-1
M. (Eutricharaea),M. (Eutricharaea),sec84-8-1
"M. (Amegachile) —. Mandible with third tooth pointed or rounded, fourth tooth usually rather broad, rounded or truncate, rarely acute, rarely emarginate so that mandible ﬁve-toothed;  cutting edges not crenulate ........................M. (Paracella)","M. (Amegachile) —. Mandible with third tooth pointed or rounded, fourth tooth usually rather broad, rounded or truncate, rarely acute, rarely emarginate so that mandible ﬁve-toothed;  cutting edges not crenulate ........................M. (Paracella)",sec84-8-1
,,sec84-8-1
