id,description,parent
A. (Clisodon),A. (Clisodon),sec113-3-1
A. (Anthophora s. str.),A. (Anthophora s. str.),sec113-3-3
A. (Anthomegilla),A. (Anthomegilla),sec113-3-4
A. (Rhinomegilla),A. (Rhinomegilla),sec113-3-4
A. (Melea),A. (Melea),sec113-3-6
A. (Anthophoroides),A. (Anthophoroides),sec113-3-6
A. (Paramegilla)(in part),A. (Paramegilla)(in part),sec113-3-8
A. (Heliophila),A. (Heliophila),sec113-3-8
A. (Caranthophora)(in part),A. (Caranthophora)(in part),sec113-3-9
A. (Paramegilla)(in part),A. (Paramegilla)(in part),sec113-3-1
"A. (Caranthophora[in part], Dasymegilla,  Lophanthophora, Mystacanthophora[in part],  Paramegilla[in part], Petalosternon, Pyganthophora)","A. (Caranthophora[in part], Dasymegilla,  Lophanthophora, Mystacanthophora[in part],  Paramegilla[in part], Petalosternon, Pyganthophora)",sec113-3-1
A. (Mystacanthophora)(in part),A. (Mystacanthophora)(in part),sec113-3-1
