id,description,parent
M. (Creightonella),M. (Creightonella),sec84-10-1
M. (Austrochile),M. (Austrochile),sec84-10-3
M. (Schizomegachile),M. (Schizomegachile),sec84-10-4
M. (Rhodomegachile),M. (Rhodomegachile),sec84-10-5
M. (Thaumatosoma),M. (Thaumatosoma),sec84-10-6
M. (Hackeriapis),M. (Hackeriapis),sec84-10-7
M. (Chalicodomoides),M. (Chalicodomoides),sec84-10-8
M. (Callomegachile),M. (Callomegachile),sec84-10-8
M. (Mitchellapis),M. (Mitchellapis),sec84-10-1
M. (Chelostomoda),M. (Chelostomoda),sec84-10-1
M. (Amegachile),M. (Amegachile),sec84-10-1
M. (Eutricharaea),M. (Eutricharaea),sec84-10-1
