id,description,parent
Eucerinoda,Eucerinoda,sec112-1-1
Canephorula,Canephorula,sec112-1-2
Thygater,Thygater,sec112-1-4
Trichocerapis,Trichocerapis,sec112-1-4
Lophothygater,Lophothygater,sec112-1-6
Alloscirtetica,Alloscirtetica,sec112-1-7
Pachysvastra,Pachysvastra,sec112-1-9
,,sec112-1-1
Gaesochira,Gaesochira,sec112-1-1
Melissodes,Melissodes,sec112-1-1
Florilegus,Florilegus,sec112-1-1
Peponapis,Peponapis,sec112-1-1
Santiago,Santiago,sec112-1-1
Svastrina,Svastrina,sec112-1-1
Micronychapis,Micronychapis,sec112-1-1
Hamatothrix,Hamatothrix,sec112-1-1
Mirnapis,Mirnapis,sec112-1-1
Gaesischia (in part),Gaesischia (in part),sec112-1-1
Martinapis (Svastropsis),Martinapis (Svastropsis),sec112-1-2
Svastra,Svastra,sec112-1-2
Svastrides,Svastrides,sec112-1-2
Gaesischia (in part),Gaesischia (in part),sec112-1-2
Lophothygater,Lophothygater,sec112-1-2
Thygater,Thygater,sec112-1-2
Trichocerapis,Trichocerapis,sec112-1-2
Hamatothrix,Hamatothrix,sec112-1-2
Peponapis,Peponapis,sec112-1-2
Florilegus,Florilegus,sec112-1-2
,,sec112-1-2
Svastrina,Svastrina,sec112-1-3
Pachysvastra,Pachysvastra,sec112-1-3
Melissoptila,Melissoptila,sec112-1-3
Santiago,Santiago,sec112-1-3
Melissodes,Melissodes,sec112-1-3
Svastra,Svastra,sec112-1-3
Svastrides,Svastrides,sec112-1-3
Micronychapis,Micronychapis,sec112-1-3
Gaesochira,Gaesochira,sec112-1-3
Gaesischia (in part),Gaesischia (in part),sec112-1-3
Gaesischia (in part),Gaesischia (in part),sec112-1-4
,,sec112-1-4
