id,description,parent
Afroheriades,Afroheriades,sec81-2-1
Ochreriades,Ochreriades,sec81-2-3
Hofferia,Hofferia,sec81-2-4
Noteriades,Noteriades,sec81-2-7
Pseudoheriades,Pseudoheriades,sec81-2-8
Stenoheriades,Stenoheriades,sec81-2-9
Heriades,Heriades,sec81-2-9
Protosmia,Protosmia,sec81-2-1
Othinosmia (in part),Othinosmia (in part),sec81-2-1
Othinosmia (Afrosmia),Othinosmia (Afrosmia),sec81-2-1
Hoplosmia,Hoplosmia,sec81-2-1
Wainia(in part),Wainia(in part),sec81-2-1
"Osmia (Allosmia, some Erythrosmia)","Osmia (Allosmia, some Erythrosmia)",sec81-2-1
Hoplitis (most subgenera),Hoplitis (most subgenera),sec81-2-1
Haetosmia,Haetosmia,sec81-2-1
Wainia (Wainiella),Wainia (Wainiella),sec81-2-1
Stenosmia,Stenosmia,sec81-2-1
Hoplitis (Kumobia),Hoplitis (Kumobia),sec81-2-1
