id,description,parent
C. (Ceroliopoeum),C. (Ceroliopoeum),sec59-3-1
C. (Liopoeodes),C. (Liopoeodes),sec59-3-3
C. (Liopoeum) (in part),C. (Liopoeum) (in part),sec59-3-4
C. (Verbenapis),C. (Verbenapis),sec59-3-5
C. (Calliopsis s. str.),C. (Calliopsis s. str.),sec59-3-6
C. (Calliopsima),C. (Calliopsima),sec59-3-7
C. (Perissander),C. (Perissander),sec59-3-7
C. (Liopoeum) (in part),C. (Liopoeum) (in part),sec59-3-8
C. (Hypomacrotera),C. (Hypomacrotera),sec59-3-9
C. (Micronomadopsis),C. (Micronomadopsis),sec59-3-1
C. (Nomadopsis),C. (Nomadopsis),sec59-3-1
