id,description,parent
,,sec66-7-2
H. (Halictus s. str.),H. (Halictus s. str.),sec66-7-3
H. (Nealictus),H. (Nealictus),sec66-7-5
H. (Lampralicutus),H. (Lampralicutus),sec66-7-6
H. (Protohalictus),H. (Protohalictus),sec66-7-6
H. (Monilapis),H. (Monilapis),sec66-7-8
H. (Platyhalictus),H. (Platyhalictus),sec66-7-8
H. (Odontalictus),H. (Odontalictus),sec66-7-9
H. (Hexataenites),H. (Hexataenites),sec66-7-1
H. (Tytthalictus),H. (Tytthalictus),sec66-7-1
H. (Argalictus),H. (Argalictus),sec66-7-1
H. (Paraseladonia),H. (Paraseladonia),sec66-7-1
H. (Vestitohalictus),H. (Vestitohalictus),sec66-7-1
H. (Seladonia),H. (Seladonia),sec66-7-1
H. (Pachyceble),H. (Pachyceble),sec66-7-1
