id,description,parent
X. (Xylocopoides),X. (Xylocopoides),sec88-2-1
X. (Neoxylocopa) (in part),X. (Neoxylocopa) (in part),sec88-2-2
X. (Stenoxylocopa),X. (Stenoxylocopa),sec88-2-3
X. (Neoxylocopa) (in part),X. (Neoxylocopa) (in part),sec88-2-4
X. (Notoxylocopa),X. (Notoxylocopa),sec88-2-6
X. (Schonnherria) (in part),X. (Schonnherria) (in part),sec88-2-7
"X. (Xylocopsis) —. Labrum with three tubercles; clypeus about half as long as broad; dorsum of metasoma clothed with very long hairs, decidedly shaggy in appearance (South America) ............................................................ X. (Dasyxylocopa)","X. (Xylocopsis) —. Labrum with three tubercles; clypeus about half as long as broad; dorsum of metasoma clothed with very long hairs, decidedly shaggy in appearance (South America) ............................................................ X. (Dasyxylocopa)",sec88-2-8
,,sec88-2-8
X. (Schonnherria) (in part),X. (Schonnherria) (in part),sec88-2-1
X. (Xylocopoda),X. (Xylocopoda),sec88-2-1
X. (Diaxylocopa),X. (Diaxylocopa),sec88-2-1
X. (Monoxylocopa),X. (Monoxylocopa),sec88-2-1
X. (Nanoxylocopa),X. (Nanoxylocopa),sec88-2-1
X. (Cirroxylocopa),X. (Cirroxylocopa),sec88-2-1
