id,description,parent
X. (Schonnherria) (in part),X. (Schonnherria) (in part),sec88-1-3
X. (Nanoxylocopa),X. (Nanoxylocopa),sec88-1-3
X. (Xylocopoda),X. (Xylocopoda),sec88-1-5
X. (Cirroxylocopa),X. (Cirroxylocopa),sec88-1-5
,,sec88-1-6
X. (Notoxylocopa),X. (Notoxylocopa),sec88-1-7
X. (Xylocopoides) (in part),X. (Xylocopoides) (in part),sec88-1-7
(Calloxylocopa group) X. (Xylocopoides) (in part),(Calloxylocopa group) X. (Xylocopoides) (in part),sec88-1-8
X. (Xylocopsis),X. (Xylocopsis),sec88-1-9
X. (Schonnherria) (in part),X. (Schonnherria) (in part),sec88-1-9
