page,section,new_page,start,end
387,95,121,Key to,(Pseudagapostemon s. str.)
390,96,122,Key to,(Thrinchostoma s. str.)
394,97,123,Key to,Paroxystoglossa
395,97,124,—. Preoccipital ridge,clypeus usually armed
396,97,125,with spines or median,"posteriorly, obsolescent"
397,97,126,anteriorly (Fig. 67-5q);,Andinaugochlora (Neocorynurella)
398,97,127,28(25). Basal area of,Caenaugochlora (Caenaugochlora)
398,98,127,Key to,and T2 frequently
399,98,128,each with a row,.. 17
400,98,129,—. Antenna of variable,Caenaugochlora
400,99,129,Key to,(Neocorynurella)
401,100,130,Key to,tooth and occa-
402,100,131,sionally outer ridge,(Augochlora s. str.)
402,101,131,Key to the Subgenera of Augochlorella (Females),(Augochlorella s. str.)
402,102,131,Key to the Subgenera of Augochlorella (Males),(Augochlorella s. str.)
404,103,132,Key to,(Paraugochloropsis)
405,104,133,Key to,(Ctenaugochlora)
406,105,134,Key to,(Chlerogella s. str.)
406,106,134,Key to,(Corynura s. str.)
408,107,135,Key to,(Noctoraptor)
409,108,136,Key to,(Cleptommation)
415,109,137,Key to,Melittinae (Sec. 74)
416,110,138,Key to,Sambini (Sec. 72)
417,111,139,Key to,"(Fig. 68-1c, d);"
418,111,140,prepygidial and pygidial,Hesperapis
418,112,140,Key to,(Popovapis)
419,113,141,Key to,(Disparapis)
420,113,142,—.,Hesperapis s. str.)
420,114,142,Key to,(Amblyapis) (in part)
424,115,143,Key to,Haplomelitta
424,116,143,Key to,(Prosamba)
426,117,144,Key to,(female un
427,117,145,known in subgenus,Ceratomonia
427,118,145,Key to,(Pseudophilanthus s. str.)
428,119,146,Key to,(Uromonia s. str.)
430,120,147,Key to,Rediviva
431,121,148,Key to,(Macropis s. str.)
431,122,148,Key to,surface of
432,122,149,labrum rather,(Melitta s. str.)
435,123,150,Key to,Megachilinae (Sec. 79)
436,124,151,Key to,Pararhophitini (Sec. 77)
438,125,152,Key to,Fidelia
439,126,153,Key to,delia)
441,127,154,Key to,as wide) to
442,127,155,linear; outer surfaces,............ 3
443,127,156,3(2). Stigma less,Osmiini (Sec. 81)
445,128,157,Key to,Lithurgus
445,129,157,Key to,Australia); facial
446,129,158,prominence of female,(Lithurgopsis)
449,130,159,Key to,and similar to one
450,130,160,another); body,Osmia (in part)
450,131,160,Key to,Chelostoma
451,131,161,5(2). Parapsidal,Hoplitis (Kumobia)
451,132,161,Key to,to anterior
452,132,162,ends of tegulae,Atoposmia
453,133,163,Key to,...... 7
454,133,164,7(6). Apex,(Arogochila)
455,134,165,Key to,(Eremosmia)
456,135,166,Key to,female mandible
457,135,167,"elongate, two-toothed;",(Eochelostoma)
459,136,168,Key to,(Heriades s. str.)
459,137,168,Key to,(Tyttheriades)
463,138,169,Key to,...... 15
464,138,170,15(14). T7,"wide, angled"
465,138,171,emargination,(Alcidamea)
465,139,171,Key to,(Robertsonella)
466,139,172,8(6). Hind coxa,(Alcidamea)
466,140,172,Key to,(Alcidamea)
474,141,173,Key to,(Odontanthocopa)
474,142,173,Key to,though rather
475,142,174,abruptly angled,(Odontanthocopa) (in part)
477,143,175,Key to,(Melanosmia)
478,144,176,Key to,O. (T ergosmia)
478,145,176,Key to,(Cephalosmia)
479,145,177,—. Genal area,(Mystacosmia)
486,146,178,Key to,(Megaloheriades)
486,147,178,Key to,(Megaloheriades)
487,148,179,Key to,(Nanosmia)
487,149,179,Key to,(Nanosmia
490,150,180,Key to,Caposmia
492,151,181,Key to,rounded emargina
493,151,182,tions; maxillary,......... 14
494,151,183,13(12). Propodeum,S5 often
495,151,184,with lateral tooth,Xenostelis
495,152,184,Supplementary Key,Serapista
495,153,184,Key to,........... 2
498,154,185,Key to,distinctly cari-
499,154,186,nate except,(Branthidium)
503,155,187,Key to,(Anthidiellum s. str.)
506,156,188,Key to,(Proanthidium)
509,157,189,Key to,(Bothranthidium)
511,158,190,Key to,(Stenanthidiellum)
513,159,191,Key to,(Mecanthidium)
514,160,192,Key to,lamella; S6 of
515,160,193,female thickened,(Eoanthidium s. str.)
515,161,193,Key to,(Epanthidium s. str.)
